‾	vizë lart, vizë përmbi
☠️	fytyrë, i vdekur, kafkë, kafkë me kocka të kryqëzuara, kocka të kryqëzuara, përbindësh, vdekje
💩	fytyrë, kakë, me erë, mut, përbindësh, vizatim komik
🤡	fytyrë, fytyrë gaztori, gaztor, klloun
👹	fantazi, fytyrë, japonez, krijesë, maskë, ogër, përbindësh, përrallë
👺	fantazi, fytyrë, goblin, i keq, i zemëruar, japonez, krijesë, maskë, përbindësh
👻	fantazi, fantazmë, fytyrë, halloween, i emocionuar, i frikshëm, krijesë, përbindësh, qesharak
👽️	UFO, alien, fantazi, hapësirë, jashtëtokësor, krijesë, përbindësh, përrallë
👾	alien, fantazi, fantazmë, fytyrë, jashtëtokësor, krijesë, përbindësh, përbindësh alien
🤖	fytyrë, fytyrë roboti, përbindësh, robot
😺	buzëqesh, fytyrë, fytyrë maceje e qeshur me gojën e hapur, gojë, kafshë, mace
😸	buzëqeshje, fytyrë maceje e ngërdheshur me sy të qeshur, fytyrë maceje me sy të qeshur, kafshë, mace, sy
😹	fytyrë, fytyrë maceje me lot gëzimi, gëzim, kafshë, lot, mace, qeshje
😻	buzëqeshje, dashuri, fytyrë maceje e qeshur me sy në formë zemre, fytyrë maceje me sy në formë zemre, kafshë, mace, sy, zemër
😼	buzëqeshje, e sforcuar, fytyrë maceje me buzëqeshje të sforcuar, ironik, kafshë, mace
😽	fytyrë, fytyrë maceje që puth me sy të mbyllur, kafshë, mace, puthje, sy
🙀	e habitur, e rraskapitur, fytyrë maceje e rraskapitur, kafshë, mace
😿	e mërzitur, fytyrë maceje që qan, kafshë, lot, mace, qaj
😾	fytyrë, fytyrë maceje me buzë të varura, kafshë, mace, me buzë të varura
🙈	fytyrë, harro, i keq, i turpëruar, kafshë, majmun, mos shiko, mos shiko gjëra të këqija, ndalohet, të këqija
