‾	surlignéation, trait suscrit, vinculé
👩🏾‍❤‍💋‍👩🏾	amour, anniversaire, baiser, bisou, bisou : femme, femme et peau modérément foncée, couple, femme, homme, peau modérément foncée
👩🏾‍❤‍💋‍👩🏿	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau modérément foncée et peau foncée, couple, femme, homme, peau foncée, peau modérément foncée
👩🏿‍❤‍💋‍👩🏻	bisou : femme, femme, peau foncée et peau claire
👩🏿‍❤‍💋‍👩🏼	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau foncée et peau modérément claire, couple, femme, homme, peau foncée, peau modérément claire
👩🏿‍❤‍💋‍👩🏽	bisou : femme, femme, peau foncée et peau légèrement mate
👩🏿‍❤‍💋‍👩🏾	amour, anniversaire, baiser, bisou, bisou : femme, femme, peau foncée et peau modérément foncée, couple, femme, homme, peau foncée, peau modérément foncée
👩🏿‍❤‍💋‍👩🏿	bisou : femme, femme et peau foncée
👩🏻‍❤‍👨🏻	couple avec cœur : femme, homme et peau claire
👩🏻‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau claire et peau modérément claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👩🏻‍❤‍👨🏽	couple avec cœur : femme, homme, peau claire et peau légèrement mate
👩🏻‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau claire et peau modérément foncée, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👩🏻‍❤‍👨🏿	couple avec cœur : femme, homme, peau claire et peau foncée
👩🏼‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément claire et peau claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👩🏼‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme et peau modérément claire, cœur, femme, homme, peau modérément claire, rendez-vous
👩🏼‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👩🏼‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément claire et peau modérément foncée, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👩🏼‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément claire et peau foncée, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👩🏽‍❤‍👨🏻	couple avec cœur : femme, homme, peau légèrement mate et peau claire
👩🏽‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau légèrement mate et peau modérément claire, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👩🏽‍❤‍👨🏽	couple avec cœur : femme, homme et peau légèrement mate
👩🏽‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau légèrement mate et peau modérément foncée, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👩🏽‍❤‍👨🏿	couple avec cœur : femme, homme, peau légèrement mate et peau foncée
👩🏾‍❤‍👨🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément foncée et peau claire, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👩🏾‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément foncée et peau modérément claire, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👩🏾‍❤‍👨🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément foncée et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👩🏾‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme et peau modérément foncée, cœur, femme, homme, peau modérément foncée, rendez-vous
👩🏾‍❤‍👨🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau modérément foncée et peau foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👩🏿‍❤‍👨🏻	couple avec cœur : femme, homme, peau foncée et peau claire
👩🏿‍❤‍👨🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau foncée et peau modérément claire, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👩🏿‍❤‍👨🏽	couple avec cœur : femme, homme, peau foncée et peau légèrement mate
👩🏿‍❤‍👨🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, homme, peau foncée et peau modérément foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👩🏿‍❤‍👨🏿	couple avec cœur : femme, homme et peau foncée
👩🏻‍❤‍👩🏻	couple avec cœur : femme, femme et peau claire
👩🏻‍❤‍👩🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau claire et peau modérément claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👩🏻‍❤‍👩🏽	couple avec cœur : femme, femme, peau claire et peau légèrement mate
👩🏻‍❤‍👩🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau claire et peau modérément foncée, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👩🏻‍❤‍👩🏿	couple avec cœur : femme, femme, peau claire et peau foncée
👩🏼‍❤‍👩🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément claire et peau claire, cœur, femme, homme, peau claire, peau modérément claire, rendez-vous
👩🏼‍❤‍👩🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme et peau modérément claire, cœur, femme, homme, peau modérément claire, rendez-vous
👩🏼‍❤‍👩🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément claire et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👩🏼‍❤‍👩🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément claire et peau modérément foncée, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👩🏼‍❤‍👩🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément claire et peau foncée, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👩🏽‍❤‍👩🏻	couple avec cœur : femme, femme, peau légèrement mate et peau claire
👩🏽‍❤‍👩🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau légèrement mate et peau modérément claire, cœur, femme, homme, peau légèrement mate, peau modérément claire, rendez-vous
👩🏽‍❤‍👩🏽	couple avec cœur : femme, femme et peau légèrement mate
👩🏽‍❤‍👩🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau légèrement mate et peau modérément foncée, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👩🏽‍❤‍👩🏿	couple avec cœur : femme, femme, peau légèrement mate et peau foncée
👩🏾‍❤‍👩🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément foncée et peau claire, cœur, femme, homme, peau claire, peau modérément foncée, rendez-vous
👩🏾‍❤‍👩🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément foncée et peau modérément claire, cœur, femme, homme, peau modérément claire, peau modérément foncée, rendez-vous
👩🏾‍❤‍👩🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément foncée et peau légèrement mate, cœur, femme, homme, peau légèrement mate, peau modérément foncée, rendez-vous
👩🏾‍❤‍👩🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme et peau modérément foncée, cœur, femme, homme, peau modérément foncée, rendez-vous
👩🏾‍❤‍👩🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau modérément foncée et peau foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👩🏿‍❤‍👩🏻	couple avec cœur : femme, femme, peau foncée et peau claire
👩🏿‍❤‍👩🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau foncée et peau modérément claire, cœur, femme, homme, peau foncée, peau modérément claire, rendez-vous
👩🏿‍❤‍👩🏽	couple avec cœur : femme, femme, peau foncée et peau légèrement mate
👩🏿‍❤‍👩🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme, femme, peau foncée et peau modérément foncée, cœur, femme, homme, peau foncée, peau modérément foncée, rendez-vous
👩🏿‍❤‍👩🏿	couple avec cœur : femme, femme et peau foncée
👩‍🦰	adulte, cheveux roux, femme, femme : cheveux roux
👩🏻‍🦰	adulte, cheveux roux, femme, femme : peau claire et cheveux roux, peau claire
👩🏼‍🦰	adulte, cheveux roux, femme, femme : peau modérément claire et cheveux roux, peau modérément claire
👩🏽‍🦰	adulte, cheveux roux, femme, femme : peau légèrement mate et cheveux roux, peau légèrement mate
👩🏾‍🦰	adulte, cheveux roux, femme, femme : peau modérément foncée et cheveux roux, peau modérément foncée
👩🏿‍🦰	adulte, cheveux roux, femme, femme : peau foncée et cheveux roux, peau foncée
👩‍🦱	adulte, cheveux bouclés, femme, femme : cheveux bouclés
👩🏻‍🦱	adulte, cheveux bouclés, femme, femme : peau claire et cheveux bouclés, peau claire
👩🏼‍🦱	adulte, cheveux bouclés, femme, femme : peau modérément claire et cheveux bouclés, peau modérément claire
👩🏽‍🦱	adulte, cheveux bouclés, femme, femme : peau légèrement mate et cheveux bouclés, peau légèrement mate
👩🏾‍🦱	adulte, cheveux bouclés, femme, femme : peau modérément foncée et cheveux bouclés, peau modérément foncée
👩🏿‍🦱	adulte, cheveux bouclés, femme, femme : peau foncée et cheveux bouclés, peau foncée
👩‍🦳	adulte, cheveux blancs, femme, femme : cheveux blancs
👩🏻‍🦳	adulte, cheveux blancs, femme, femme : peau claire et cheveux blancs, peau claire
👩🏼‍🦳	adulte, cheveux blancs, femme, femme : peau modérément claire et cheveux blancs, peau modérément claire
👩🏽‍🦳	adulte, cheveux blancs, femme, femme : peau légèrement mate et cheveux blancs, peau légèrement mate
👩🏾‍🦳	adulte, cheveux blancs, femme, femme : peau modérément foncée et cheveux blancs, peau modérément foncée
👩🏿‍🦳	adulte, cheveux blancs, femme, femme : peau foncée et cheveux blancs, peau foncée
👩‍🦲	adulte, chauve, femme, femme : chauve
👩🏻‍🦲	adulte, chauve, femme, femme : peau claire et chauve, peau claire
👩🏼‍🦲	adulte, chauve, femme, femme : peau modérément claire et chauve, peau modérément claire
👩🏽‍🦲	adulte, chauve, femme, femme : peau légèrement mate et chauve, peau légèrement mate
👩🏾‍🦲	adulte, chauve, femme, femme : peau modérément foncée et chauve, peau modérément foncée
👩🏿‍🦲	adulte, chauve, femme, femme : peau foncée et chauve, peau foncée
🧓	adulte, genre non défini, personne, âgée
🧓🏻	adulte, genre non défini, peau claire, personne, personne âgée : peau claire, âgée
🧓🏼	adulte, genre non défini, peau modérément claire, personne, personne âgée : peau modérément claire, âgée
🧓🏽	adulte, genre non défini, peau légèrement mate, personne, personne âgée : peau légèrement mate, âgée
🧓🏾	adulte, genre non défini, peau modérément foncée, personne, personne âgée : peau modérément foncée, âgée
🧓🏿	adulte, genre non défini, peau foncée, personne, personne âgée : peau foncée, âgée
👴	adulte, homme, âgé
👴🏻	adulte, homme, homme âgé : peau claire, peau claire, âgé
👴🏼	adulte, homme, homme âgé : peau modérément claire, peau modérément claire, âgé
👴🏽	adulte, homme, homme âgé : peau légèrement mate, peau légèrement mate, âgé
👴🏾	adulte, homme, homme âgé : peau modérément foncée, peau modérément foncée, âgé
👴🏿	adulte, homme, homme âgé : peau foncée, peau foncée, âgé
👵	adulte, femme, âgée
👵🏻	adulte, femme, femme âgée : peau claire, peau claire, âgée
