‾	surlignéation, trait suscrit, vinculé
🤚🏽	dos de main, dos de main levée, dos de main levée : peau légèrement mate, levée, main, peau légèrement mate
🤚🏾	dos de main, dos de main levée, dos de main levée : peau modérément foncée, levée, main, peau modérément foncée
🤚🏿	dos de main, dos de main levée, dos de main levée : peau foncée, levée, main, peau foncée
🖐️	doigts écartés, main, main aux doigts écartés
🖐🏻	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau claire, peau claire
🖐🏼	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau modérément claire, peau modérément claire
🖐🏽	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau légèrement mate, peau légèrement mate
🖐🏾	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau modérément foncée, peau modérément foncée
🖐🏿	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau foncée, peau foncée
✋️	levée, main
✋🏻	levée, main, main levée : peau claire, peau claire
✋🏼	levée, main, main levée : peau modérément claire, peau modérément claire
✋🏽	levée, main, main levée : peau légèrement mate, peau légèrement mate
✋🏾	levée, main, main levée : peau modérément foncée, peau modérément foncée
✋🏿	levée, main, main levée : peau foncée, peau foncée
🖖	main, salut, spock, vulcain
🖖🏻	main, peau claire, salut, salut vulcain : peau claire, spock, vulcain
🖖🏼	main, peau modérément claire, salut, salut vulcain : peau modérément claire, spock, vulcain
🖖🏽	main, peau légèrement mate, salut, salut vulcain : peau légèrement mate, spock, vulcain
🖖🏾	main, peau modérément foncée, salut, salut vulcain : peau modérément foncée, spock, vulcain
🖖🏿	main, peau foncée, salut, salut vulcain : peau foncée, spock, vulcain
🫱🏻	main vers la droite : peau claire
🫱🏼	droite, main vers la droite, main vers la droite : peau modérément claire, peau modérément claire, serrer la main, tenir la main, vers la droite
🫱🏽	main vers la droite : peau légèrement mate
🫱🏾	droite, main vers la droite, main vers la droite : peau modérément foncée, peau modérément foncée, serrer la main, tenir la main, vers la droite
🫱🏿	main vers la droite : peau foncée
🫱🏻‍🫲🏼	accord, main, peau claire, peau modérément claire, poignée, poignée de main, poignée de main : peau claire et peau modérément claire, présentation, rencontre
🫱🏻‍🫲🏽	accord, main, peau claire, peau légèrement mate, poignée, poignée de main, poignée de main : peau claire et peau légèrement mate, présentation, rencontre
🫱🏻‍🫲🏾	accord, main, peau claire, peau modérément foncée, poignée, poignée de main, poignée de main : peau claire et peau modérément foncée, présentation, rencontre
🫱🏻‍🫲🏿	accord, main, peau claire, peau foncée, poignée, poignée de main, poignée de main : peau claire et peau foncée, présentation, rencontre
🫱🏼‍🫲🏻	accord, main, peau claire, peau modérément claire, poignée, poignée de main, poignée de main : peau modérément claire et peau claire, présentation, rencontre
🫱🏼‍🫲🏽	accord, main, peau légèrement mate, peau modérément claire, poignée, poignée de main, poignée de main : peau modérément claire et peau légèrement mate, présentation, rencontre
🫱🏼‍🫲🏾	accord, main, peau modérément claire, peau modérément foncée, poignée, poignée de main, poignée de main : peau modérément claire et peau modérément foncée, présentation, rencontre
🫱🏼‍🫲🏿	accord, main, peau foncée, peau modérément claire, poignée, poignée de main, poignée de main : peau modérément claire et peau foncée, présentation, rencontre
🫱🏽‍🫲🏻	accord, main, peau claire, peau légèrement mate, poignée, poignée de main, poignée de main : peau légèrement mate et peau claire, présentation, rencontre
🫱🏽‍🫲🏼	accord, main, peau légèrement mate, peau modérément claire, poignée, poignée de main, poignée de main : peau légèrement mate et peau modérément claire, présentation, rencontre
🫱🏽‍🫲🏾	accord, main, peau légèrement mate, peau modérément foncée, poignée, poignée de main, poignée de main : peau légèrement mate et peau modérément foncée, présentation, rencontre
🫱🏽‍🫲🏿	accord, main, peau foncée, peau légèrement mate, poignée, poignée de main, poignée de main : peau légèrement mate et peau foncée, présentation, rencontre
🫱🏾‍🫲🏻	accord, main, peau claire, peau modérément foncée, poignée, poignée de main, poignée de main : peau modérément foncée et peau claire, présentation, rencontre
🫱🏾‍🫲🏼	accord, main, peau modérément claire, peau modérément foncée, poignée, poignée de main, poignée de main : peau modérément foncée et peau modérément claire, présentation, rencontre
🫱🏾‍🫲🏽	accord, main, peau légèrement mate, peau modérément foncée, poignée, poignée de main, poignée de main : peau modérément foncée et peau légèrement mate, présentation, rencontre
🫱🏾‍🫲🏿	accord, main, peau foncée, peau modérément foncée, poignée, poignée de main, poignée de main : peau modérément foncée et peau foncée, présentation, rencontre
🫱🏿‍🫲🏻	accord, main, peau claire, peau foncée, poignée, poignée de main, poignée de main : peau foncée et peau claire, présentation, rencontre
🫱🏿‍🫲🏼	accord, main, peau foncée, peau modérément claire, poignée, poignée de main, poignée de main : peau foncée et peau modérément claire, présentation, rencontre
🫱🏿‍🫲🏽	accord, main, peau foncée, peau légèrement mate, poignée, poignée de main, poignée de main : peau foncée et peau légèrement mate, présentation, rencontre
🫱🏿‍🫲🏾	accord, main, peau foncée, peau modérément foncée, poignée, poignée de main, poignée de main : peau foncée et peau modérément foncée, présentation, rencontre
🫲🏻	main vers la gauche : peau claire
🫲🏼	gauche, main vers la gauche, main vers la gauche : peau modérément claire, peau modérément claire, serrer la main, tenir la main, vers la gauche
🫲🏽	main vers la gauche : peau légèrement mate
🫲🏾	gauche, main vers la gauche, main vers la gauche : peau modérément foncée, peau modérément foncée, serrer la main, tenir la main, vers la gauche
🫲🏿	main vers la gauche : peau foncée
🫳🏻	main paume vers le bas : peau claire
