‾	መስመር ላይ
🙋🏽	ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የቆዳ ዓይነት-4, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስ ያለው እጁን የሚያወጣ ሰው: የቆዳ ዓይነት-4, ደስተኛ
🙋🏾	ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የቆዳ ዓይነት-5, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስ ያለው እጁን የሚያወጣ ሰው: የቆዳ ዓይነት-5, ደስተኛ
🙋🏿	ስንብት, ቻው, እኔ ማገዝ እችላለሁ, እኔን ምረጡኝ, እዚህ, እዚህ ጋ, እጅ, እጇን ያወጣች ሴት, ከፍ ያደረገ, የቆዳ ዓይነት-6, የእጅ ምልክት, ደስ ያለው እጁን የሚያወጣ ሰው, ደስ ያለው እጁን የሚያወጣ ሰው: የቆዳ ዓይነት-6, ደስተኛ
🙋‍♂	እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, ጥያቄ
🙋🏻‍♂	እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የቆዳ ዓይነት-1-2, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, የወንድ እጅ ማውጣት: የቆዳ ዓይነት-1-2, ጥያቄ
🙋🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, የወንድ እጅ ማውጣት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጥያቄ
🙋🏽‍♂	እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የቆዳ ዓይነት-4, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, የወንድ እጅ ማውጣት: የቆዳ ዓይነት-4, ጥያቄ
🙋🏾‍♂	እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የቆዳ ዓይነት-5, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, የወንድ እጅ ማውጣት: የቆዳ ዓይነት-5, ጥያቄ
🙋🏿‍♂	እኔ, እኔ አውቃለሁ, እጁን ያወጣ ሰው, እጁን ያወጣ ወንድ, እጅ, እጆች, ከፍ ያደረገ, ወንድ, የቆዳ ዓይነት-6, የተነሳ እጅ, የእጅ ምልክት, የወንድ እጅ ማውጣት, የወንድ እጅ ማውጣት: የቆዳ ዓይነት-6, ጥያቄ
🙋‍♀	ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የእጅ ምልክት
🙋🏻‍♀	ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የሴት እጅ ማውጣት: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የእጅ ምልክት
🙋🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የሴት እጅ ማውጣት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የእጅ ምልክት
🙋🏽‍♀	ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የሴት እጅ ማውጣት: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የእጅ ምልክት
🙋🏾‍♀	ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የሴት እጅ ማውጣት: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የእጅ ምልክት
🙋🏿‍♀	ሴት, እጅ, ከፍ ያደረገ, የሴት እጅ ማውጣት, የሴት እጅ ማውጣት: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የእጅ ምልክት
🧏	መስማት, መስማት የተሳነው ሰው, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, ደንቆሮ, ጆሮ
🧏🏻	መስማት, መስማት የተሳነው ሰው, መስማት የተሳነው ሰው: የቆዳ ዓይነት-1-2, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, የቆዳ ዓይነት-1-2, ደንቆሮ, ጆሮ
🧏🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መስማት, መስማት የተሳነው ሰው, መስማት የተሳነው ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, ደንቆሮ, ጆሮ
🧏🏽	መስማት, መስማት የተሳነው ሰው, መስማት የተሳነው ሰው: የቆዳ ዓይነት-4, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, የቆዳ ዓይነት-4, ደንቆሮ, ጆሮ
🧏🏾	መስማት, መስማት የተሳነው ሰው, መስማት የተሳነው ሰው: የቆዳ ዓይነት-5, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, የቆዳ ዓይነት-5, ደንቆሮ, ጆሮ
🧏🏿	መስማት, መስማት የተሳነው ሰው, መስማት የተሳነው ሰው: የቆዳ ዓይነት-6, ማዳመጥ, ምቹ, ተደራሽ, ተደራሽነት, ወደ ጆሮው የጠቆመ ሰው, የቆዳ ዓይነት-6, ደንቆሮ, ጆሮ
🧏‍♂	ወንድ, ደንቆሮ, ደንቆሮ ሰው
🧏🏻‍♂	ወንድ, የቆዳ ዓይነት-1-2, ደንቆሮ, ደንቆሮ ሰው, ደንቆሮ ሰው: የቆዳ ዓይነት-1-2
🧏🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ደንቆሮ, ደንቆሮ ሰው, ደንቆሮ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🧏🏽‍♂	ወንድ, የቆዳ ዓይነት-4, ደንቆሮ, ደንቆሮ ሰው, ደንቆሮ ሰው: የቆዳ ዓይነት-4
🧏🏾‍♂	ወንድ, የቆዳ ዓይነት-5, ደንቆሮ, ደንቆሮ ሰው, ደንቆሮ ሰው: የቆዳ ዓይነት-5
🧏🏿‍♂	ወንድ, የቆዳ ዓይነት-6, ደንቆሮ, ደንቆሮ ሰው, ደንቆሮ ሰው: የቆዳ ዓይነት-6
🧏‍♀	ሴት, ደንቆሮ, ደንቆሮ ሴት
🧏🏻‍♀	ሴት, የቆዳ ዓይነት-1-2, ደንቆሮ, ደንቆሮ ሴት: የቆዳ ዓይነት-1-2
🧏🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ደንቆሮ, ደንቆሮ ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🧏🏽‍♀	ሴት, የቆዳ ዓይነት-4, ደንቆሮ, ደንቆሮ ሴት: የቆዳ ዓይነት-4
🧏🏾‍♀	ሴት, የቆዳ ዓይነት-5, ደንቆሮ, ደንቆሮ ሴት: የቆዳ ዓይነት-5
🧏🏿‍♀	ሴት, የቆዳ ዓይነት-6, ደንቆሮ, ደንቆሮ ሴት: የቆዳ ዓይነት-6
🙇	ልመና, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, የሚያጎነብስ ሰው, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇🏻	ልመና, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው: የቆዳ ዓይነት-1-2, የሚያጎነብስ ሰው, የቆዳ ዓይነት-1-2, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇🏼	ልመና, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የሚያጎነብስ ሰው, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇🏽	ልመና, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው: የቆዳ ዓይነት-4, የሚያጎነብስ ሰው, የቆዳ ዓይነት-4, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇🏾	ልመና, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው: የቆዳ ዓይነት-5, የሚያጎነብስ ሰው, የቆዳ ዓይነት-5, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇🏿	ልመና, መመሰጥ, ማሳዘን, ማጎንበስ, ተመስጦ, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው, ከወገቡ ጎንበስ ብሎ ሰላምታ የሚሰጥ ሰው: የቆዳ ዓይነት-6, የሚያጎነብስ ሰው, የቆዳ ዓይነት-6, የእጅ ምልክት, ይቅር ማለት, ይቅርታ, ጸጸት
🙇‍♂	ማጎንበስ, ወንድ, ወንድ ማጎንበስ, የእጅ ምልክት, ይቅርታ
🙇🏻‍♂	ማጎንበስ, ወንድ, ወንድ ማጎንበስ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የእጅ ምልክት, ይቅርታ
🙇🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ማጎንበስ, ወንድ, ወንድ ማጎንበስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የእጅ ምልክት, ይቅርታ
🙇🏽‍♂	ማጎንበስ, ወንድ, ወንድ ማጎንበስ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የእጅ ምልክት, ይቅርታ
🙇🏾‍♂	ማጎንበስ, ወንድ, ወንድ ማጎንበስ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የእጅ ምልክት, ይቅርታ
🙇🏿‍♂	ማጎንበስ, ወንድ, ወንድ ማጎንበስ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የእጅ ምልክት, ይቅርታ
🙇‍♀	መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ, ተመስጦ, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🙇🏻‍♀	መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ: የቆዳ ዓይነት-1-2, ተመስጦ, የቆዳ ዓይነት-1-2, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🙇🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ተመስጦ, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🙇🏽‍♀	መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ: የቆዳ ዓይነት-4, ተመስጦ, የቆዳ ዓይነት-4, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🙇🏾‍♀	መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ: የቆዳ ዓይነት-5, ተመስጦ, የቆዳ ዓይነት-5, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🙇🏿‍♀	መመሰጥ, ማጎንበስ, ሴት, ሴት ማጎንበስ: የቆዳ ዓይነት-6, ተመስጦ, የቆዳ ዓይነት-6, የእጅ ምልክት, ያጎነበሰች ሴት, ይቅርታ, ይቅርታ መጠየቅ
🤦	መደነቅ, መዳፍ, ማዘን, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦🏻	መደነቅ, መዳፍ, ማዘን, ማዘን: የቆዳ ዓይነት-1-2, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-1-2, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መደነቅ, መዳፍ, ማዘን, ማዘን: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦🏽	መደነቅ, መዳፍ, ማዘን, ማዘን: የቆዳ ዓይነት-4, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-4, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦🏾	መደነቅ, መዳፍ, ማዘን, ማዘን: የቆዳ ዓይነት-5, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-5, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦🏿	መደነቅ, መዳፍ, ማዘን, ማዘን: የቆዳ ዓይነት-6, ሰው, አለማመን, አይሆንም, እራስን ማነቃነቅ, እንደገና አይሆንም, እጅ, ኦ አምላኬ, የቆዳ ዓይነት-6, ድንጋጤ, ፊትን በመዳፍ መሸፈን
🤦‍♂	መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦🏻‍♂	መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ወንድ ፊት መቅላት: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ወንድ ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦🏽‍♂	መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ወንድ ፊት መቅላት: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦🏾‍♂	መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ወንድ ፊት መቅላት: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦🏿‍♂	መደነቅ, መዳፍ, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና አይሆንም, ኦ አምላኬ, ወንድ ፊት መቅላት, ወንድ ፊት መቅላት: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ድንጋጤ, ጭንቅላትን ማወዛወዝ, ፊት መቅላት, ፊትን በመዳፍ መሸፈን
🤦‍♀	መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤦🏻‍♀	መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, ሴት ፊት መቅላት: የቆዳ ዓይነት-1-2, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, የቆዳ ዓይነት-1-2, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤦🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, ሴት ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤦🏽‍♀	መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, ሴት ፊት መቅላት: የቆዳ ዓይነት-4, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, የቆዳ ዓይነት-4, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤦🏾‍♀	መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, ሴት ፊት መቅላት: የቆዳ ዓይነት-5, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, የቆዳ ዓይነት-5, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤦🏿‍♀	መደነቅ, መደንገጥ, መዳፍ, ሴት, ሴት ፊት መቅላት, ሴት ፊት መቅላት: የቆዳ ዓይነት-6, በፍጹም አይሆንም, ብስጭት, አለማመን, አምላኬ, እንደገና, የቆዳ ዓይነት-6, ጭንቅላትን ማወዛወዝ, ፊትን በመዳፍ መሸፈን
🤷	ልዩነት, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ
🤷🏻	ልዩነት, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, ንቆ መተው: የቆዳ ዓይነት-1-2, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ, የቆዳ ዓይነት-1-2
🤷🏼	ልዩነት, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, ንቆ መተው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ
🤷🏽	ልዩነት, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, ንቆ መተው: የቆዳ ዓይነት-4, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ, የቆዳ ዓይነት-4
🤷🏾	ልዩነት, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, ንቆ መተው: የቆዳ ዓይነት-5, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ, የቆዳ ዓይነት-5
🤷🏿	ልዩነት, መጠራጠር, ምናልባት, ምንም ይሁን, ንቆ መተው, ንቆ መተው: የቆዳ ዓይነት-6, አለማወቅ, አላውቅም, አያገባኝም, አይመለከተኝም, እኔ እንጃ, እኔንጃ, የቆዳ ዓይነት-6
