‾	горна црта
🙂‍↔	не, неодобрување, одмавнување, одмавнување со главата
🙂‍↕	да, климнување, климнување со главата, одобрување
😌	зен, лице, лице со олеснување, мир, мирно, олеснето, олеснување, смирено
😔	замислено, замислено лице, здодевно, изгубено, изопачено, лице, потиштено, разочарано, тажно, ужасно, умрено
😪	лице, мрсулав, плаче, поспано лице, спанко, спиење, тажно, уморно
🤤	лигавење, лице
😴	добра ноќ, заспано лице, ззз, лице, спие
🫩	исцрпено, лице со подочници, поспано, уморно
😷	бактерии, болен, дерматолог, доктор, забар, лекар, лице со медицинска маска, микроби, настинка, стоматолог
🤒	болен, лице, лице со температура, лице со термометар, температура, термометар
🤕	боли, болка, завој, лице, лице со завој на главата, лице со преврска на главата, оф, повреда, рана
🤢	гади, гадно, лице, лоши, мачнина, му се повраќа, повраќа, слоши
🤮	болен, гадно, лице повраќа, одвратно, повраќа, повраќање
🤧	болен, грип, дува нос, кивање, лице, лице што кива, марамче, на здравје, настинка
🥵	жешко, зацрвенето лице, збревта, испотен, лице, лице зацрвенето од жештина, потење, топлотен удар, трескавично, умира
🥶	замрзнато, замрзнато лице, ладно, лице, мразулци, под нула, се тресе, сино, смрзнува, студено, тресе заби
🥴	брановидна уста, затруен, зашеметен, зашеметено лице, нерамни очи, отруен, пијан, пијано лице
😵	болен, зашеметено, зашеметено лице, лице, мртва, мртво, мртов, уморен, умрен, утепан
😵‍💫	зашеметен, зашеметено, збунето, крш, леле, лице, лице со спирални очи, неволја, спирала, хипнотизиран
🤯	експлодира, експлодирачка глава, како може, не е можно, не ми се верува, неверојатно, невозможно, нема шанси, шок, штукна ум
🤠	капа, каубоец, каубој, каубојка, лице, шешир
🥳	возбуден, забава, капа, лице што се забавува, прослава, роденден, среќен роденден, ура, честитки, јупи
🥸	бркови, веѓа, инкогнито, лице со маска, лице што се преправа, маска, мустаќи, нос, очила, шпион
😎	кул, насмеано лице со очила за сонце, насмевка, очила, плажа, победа, светло, сончево, стил, феноменално
🤓	бубалица, гик, интелигенција, лице, лице на бубалица, лице на гик, чудак, штребер
🧐	богат, елегантен, лице со монокл, надуенко, фенси
😕	збунето, збунето лице, збунувачки, извини, лице, мех, не е сигурно, не знам, несигурно, тажно, хм
🫤	двоумење, ех, збунетост, лице со дијагонална уста, несигурен, разочаран, скептик, фрустрација
😟	грижа, загрижено, загрижено лице, изненадено, лице, нерви, пеперутки, стрес, тажно
🙁	лице, малку намуртено лице, намуртено, тажно
☹️	лице, намуртено, намуртено лице, тажно
😮	заборави, изненадено, лице, лице со отворена уста, не ти верувам, неверојатно, нереално, симпатија, уста, шокирано
😯	без зборови, епско, замолчено, замолчено лице, зачудено, изненадено, лице, омг
😲	вчудовидено, вчудовидено лице, лице, нема шанси, стварно, шокирано
😳	виновно, вцрвенето, вцрвенето лице, засрамено, збунето, импресионирано, лице, незгодно
🥺	големи очи, кучешки очиња, лице, лице што моли, милосрдие, милост, молење, моли, тажно, те молам
🥹	благодарен, гнев, горд, гордост, лице спремно да заплаче, отпор, плачење, солзи радосници, тажно, чувства
😦	изненадување, исплашено, лице, намуртено, намуртено лице со отворена уста, неспремно, отворена, уста, што
😧	вознемирено, заборави, заборавив, изненадено, исплашено, лице, лице во очај, несреќно, очајно, што
😨	виновно, загрижено, исплашено, лице, лице во страв, нервозно, страв, уплашено
😰	исплашено, капка пот, ладна пот, лице со отворена уста и капка пот, лице со отворена уста и ладна пот, нервозно, пот, сино, уста
😥	вознемиреност, за малку, лице, не овојпат, олеснување, пот, разочарано лице со олеснување, разочарано, но лице со олеснување, разочарување, тажно
😢	лице, недостасува, несреќно, плаче, расплакано лице, солза, тажно, ужасно, чувства
😭	гласно расплакано лице, лице со исплазен јазик и затворени очи, несреќно, плаче, рика, солзи, тажно, ужасно, јазик
😱	вреска, епско, изненадено, исплашено, леле, лице кое вреска од страв, страв, уплашено, шокирано
😖	вознемирено, збркано, збркано лице, збунето, изнервирано, лице, луто, тажно, фрустрирано, чувствува
😣	главоболка, издржливо лице, издржливост, истрајност, концентрација, лице што се концентрира, лице што се фокусира, фокус, фокусирано лице
😞	виновно, грозно, изгубено, криво, лице, несреќно, неуспешно, отфрлено, разочарано, разочарано лице, тажно
😓	главоболка, за малку, исплашено, ладна пот, лице, лице со капка пот, лице со ладна пот, пот, тажно, чувствува
😩	гладно, исцрпено, исцрпено лице, лице, неее, несреќно, плаче, поспано, тажно, уморно, чувствува
😫	дремка, кива, лице, тажно лице, трошок, уморно, уморно лице, чувствува
🥱	време за спиење, добра ноќ, дремка, здодевно, како и да е, лице што се проѕева, поспано, проѕевање, уморно
😤	бес, бесно, гнев, лице на кое му чади од носот, лутина, налутено, несреќно, нос, чад, чувства
😡	бес, вознемирено, гнев, лице зацрвенето од лутина, лудо, налутено, несреќно, полудува, црвено, чувствува
😠	вина, гнев, гневно лице, лутина, налутено, налутено лице, несреќно, обвинува, фрустрирано, чувствува
🤬	изнервиран, колнење, лице со симболи на устата, лутење, нервоза, пцуење, цензура
