‾	linea in alto, linea sopra, sopralineatura
☺️	contorno faccina sorridente, delineata, emozionarsi, faccina, faccina sorridente, felice, rilassata, sorridente
😚	amore, bacetti, bacio a occhi chiusi, buona notte, faccina, faccina che bacia con occhi chiusi, occhi chiusi, ti amo, ti voglio bene, tvb
😙	appuntamento, bacetti, buona notte, faccina che bacia con occhi sorridenti, faccina che manda baci, occhi chiusi, occhi sorridenti, sorriso
🥲	commosso, dolore, emozionato, faccina sorridente con lacrima, felice, lacrima, orgoglioso, rincuorato
😋	buonissimo, buono, che buono, cibo delizioso, faccina, faccina che fa la lingua, faccina che si lecca i baffi, faccina con lingua, gnam, golosa, goloso, leccarsi i baffi, slurp
😛	bello, faccina, faccina che fa la linguaccia, faccina che mostra la lingua, faccina con lingua fuori, fantastico, lingua, lingua fuori, linguaccia
😜	barzelletta, divertente, faccina, faccina che fa la lingua, faccina che fa l’occhiolino e mostra la lingua, lingua, lingua fuori con occhiolino, linguaccia, linguaccia con occhiolino, occhiolino, pazzerello, pazzo, scherzo, sto scherzando, strano, yolo
🤪	faccina, faccina con occhi pazzi, faccina impazzita, faccina pazza, grande, inquietante, occhi, occhi diversi, occhio, pazzo, piccolo, sclerato
😝	bleah, faccina, faccina che strizza gli occhi e mostra la lingua, faccina con un gran sorriso che mostra la lingua, lingua, linguaccia, linguaccia con occhi chiusi, non mi piace, occhi chiusi, orribile, terribile
🤑	arricchire, avarizia, avidità, avidità di denaro, avido, denaro, dollari, faccina, faccina avida di denaro, faccina con lingua verde, guadagnare, lingua, occhi, pagare, ricchezza, ricco, soldi, taccagno
🤗	abbracciare, abbraccio, ciao, faccina, faccina che abbraccia, imbarazzo, mani, mano, saluti, sorriso, ti voglio bene, tvb
🤭	faccina, faccina che sogghigna, faccina con mano davanti alla bocca, faccina con mano sulla bocca, imbarazzato, imbarazzo, mano, non ci credo, oddio, oops, ridacchiare, ridere, segreto, sogghignare, sorpresa
🫢	faccina con occhi aperti e mano sulla bocca, imbarazzo, incredibile, incredulità, mano sulla bocca, meraviglia, non ci credo, non ci posso credere, ops, sconvolto, shock, sorpresa, spavento, stupore
🫣	curiosità, faccina che sbircia tra le dita, fissare, imbarazzo, incuriosito, nascondo, sbirciare, sbircio, spiare, timida, timido
🤫	dito, faccina che zittisce, muto, non parlare, segreto, silenzio, silenzioso, zittire, zitto
🤔	arrovellarsi, concentrarsi, dubbio, faccina, faccina che pensa, faccina concentrata, mmm, pensare, scervellarsi
🫡	agli ordini, d’accordo, faccina che fa il saluto, faccina che fa il saluto militare, militare, obbedisco, ok, saluto, signorsì, sissignora, sissignore, truppe, va bene
🤐	acqua in bocca, bocca a zip, bocca cucita, faccina con bocca con cerniera, faccina con zip, no comment, non parlare, non posso parlare, segreto, silenzio, zitto
🤨	diffidente, disappunto, eh, faccia con sopracciglia alzate, faccina, faccina con sopracciglio alzato, incredulo, mah, non ci credo, scetticismo, scettico, sconcertato, sorpresa, sorpreso
😐️	ah, faccina, faccina neutra, imbarazzato, imbarazzo, impassibile, mmm, neutro, no comment, non fa ridere, non rido, oh, senza espressione, senza parole, uh
😑	brutto, cattivo, come no, faccina, faccina inespressiva, inespressiva, male, neutro, niente commenti, no comment, strano
😶	faccina, faccina senza bocca, muto, non parlo, non posso parlare, segreto, senza bocca, senza espressione, senza parole, silenzio, zitto
🫥	depresso, faccina tratteggiata, introverso, invisibile, nascondersi, scomparire, sparire
😶‍🌫	annebbiato, distratto, sbadato, testa tra le nuvole
😏	ammiccante, bocca, faccia, faccina, faccina che sorride, faccina con sorrisetto, flirtare, furbetto, malizioso, mmm, non ci credo, occhiolino, sopracciglia, sorrisetto, sospetto, sospettoso
😒	che barba, contrariato, deluso, faccina, faccina contrariata, indifferente, infelice, triste, uff, uffa, ugh, wtf
🙄	evabbé, faccina, faccina con occhi al cielo, guardare altrove, noia, occhi, occhi al cielo, pazienza, roteare gli occhi, ruotare gli occhi, sollevare gli occhi, sollevare gli occhi al cielo, uffa, vabbè
😬	denti, dentista, digrignare, digrignare i denti, faccina, faccina con smorfia, smorfia
😮‍💨	ansimare, esausto, espirare, faccina, faccina che espira, fischiare, fumo, soffio, sollievo, sospiro, stanco, sussurrare, tosse
🤥	bugia, bugiardo, dire le bugie, faccina, faccina bugiarda, faccina con il naso lungo, mentire, naso lungo, pinocchio
🫨	faccina, faccina che trema, faccina scossa, faccina tremante, scombussolato, scosso, scossone, shock, terremoto, tremante, tremare, vibrazione
🙂‍↔	no, scuotere, scuotere la testa in senso orizzontale
🙂‍↕	annuire, scuotere la testa in senso verticale, sì
😌	faccina, faccina con sorriso, faccina sollevata, pace, sollevato, sollievo, tranquillità, tranquillo, zen
😔	faccina, faccina pensierosa, mai una gioia, male, mi dispiace, morire, no, peccato, pensieroso, perdere, persa, purtroppo, scoraggiato, triste
😪	assonnato, dormire, faccina, faccina assonnata, goccia, sonno, stanco, zzz
🤤	bava, che buono, faccina, faccina che sbava, felice, figata, sbavare
😴	assonnato, buona notte, dormire, faccina, faccina che dorme, pisolino, sonno, stanco, zzz
🫩	assonnato, borse, esausto, faccina con borse sotto gli occhi, occhiaie, sfinito, sonno, stanchezza, stanco
😷	dentista, dottore, faccia, faccina, faccina con mascherina, germi, infermiera, infermiere, malato, maschera, mascherina, medicina, raffreddato, raffreddore, smog
🤒	ammalato, faccina, faccina con termometro, faccina malata, febbre, influenza, malato, mutua, raffreddore, termometro
🤕	bende, dolore, faccina, faccina bendata, faccina con la testa bendata, faccina malata, farsi male, fasciarsi la testa, ferita, ferito, mal di testa, malato
🤢	faccina, faccina che vomita, faccina con la nausea, faccina nauseata, hang over, mal di mare, malato, nausea, nauseato, sto male, verde, vomito
🤮	faccina, faccina che vomita, malato, male, nausea, sputare, sto male, verde, vomitare, vomito
