‾	винкулум, горна черта
🙂‍↕	глава, глава, която прави вертикални движения, кимане за съгласие, която прави вертикални движения
😌	Облекчено лице, дзен, лице, облекчен, облекчено лице
😔	Угрижено лице, лице, недоволен, обезсърчен, отегчен, разочарован, тъжен, угрижен, угрижено лице
😪	Сънено лице, изморен, лице, плачещ, сън, сънено лице, тъжен
🤤	капят лиги, лиги, лице, лице с капеща слюнка, слюнка
😴	Спящо лице, време за сън, дрямка, изморен, легло, лека нощ, лице, нощ, прозявка, спящо лице, сън
🫩	изморен, изтощен, лице с торбички под очите, сънен
😷	Лице с медицинска маска, болен, дерматолог, зъболекар, лекар, лице, лице с медицинска маска, маска, медицина
🤒	Лице с термометър, болен, лице, лице с термометър, термометър
🤕	Лице с превръзка на главата, боли, лице, лице с превръзка на главата, нараняване, ох, превръзка, рана
🤢	гади ми се, лице, лице пред повръщане, отвратено, повръщане
🤮	Повръщащо лице, болен, гадене, гнусно, плюене, повръщане, повръщащо лице
🤧	болен, грип, кихане, кихащо лице, лице, наздраве, настинка
🥵	горещина, зачервено лице, зачервяване, изплезен език, лице, потене, температура, топлинен удар, умирам
🥶	замръзнало лице, клинч, лед, лице, посинял, синьо, студ, тракащи зъби, хапещ студ
🥴	замаян, зигзагообразна уста, неравен поглед, опиянен, опиянено лице, пийнал
😵	замаян, замаяно лице, зашеметен, лице, лице със зачеркнати очи, лошо ми е, умирам, умрял
😵‍💫	замаян, лице със спираловидни очи, омг, проблеми, спирала, хипнотизиран
🤯	Експлодираща глава, експлодираща глава, невероятно, няма начин, отвя ми ума, потресен, шокиран
🤠	каубой, каубойка, лице, лице с каубойска шапка, шапка
🥳	купон, купонджийско лице, лице, надувалка, празненство, радостен, развълнуван, рожден ден, свирка, ура, шапка
🥸	инкогнито, лице, маскирано лице, маскировка, мустак, очила, фалшив нос, шпионин
😎	Усмихнато лице със слънчеви очила, готин, лежерен, лице, небрежен, очила, печен, плаж, релаксиран, слънце, слънчеви очила, усмивка, усмихнато лице със слънчеви очила
🤓	експерт, зубър, интелигентен, лице, лице на зубър, лице на „читанка“, очила, читанка
🧐	Лице с монокъл, богат, заможен, класа, консервативен, лице, лице с монокъл, монокъл, старомоден
😕	Объркано лице, извинявай, лице, не знам, объркан, объркано лице, съжалявам, тъжен
🫤	лице с диагонална уста, неодобряващ, несигурен, разочарован, разочарование, скептичен, съмнение
😟	Разтревожено лице, лице, нервен, притеснен, разтревожен, разтревожено лице, стресиран, тъжен
🙁	Леко намръщено лице, гримаса, лице, намръщен, тъжен
☹️	Намръщено лице, гримаса, лице, намръщено лице, тъжен
😮	Лице с отворена уста, забравих, изненадан, лице, лице с отворена уста, не ти вярвам, невярващ, омг, съчувствие, уста, шокиран
😯	Изненадано лице, впечатлен, епично, изненадан, изненадано лице, лице, омг
😲	Учудено лице, изумен, изумено лице, лице, няма начин, омг, учуден, учудено лице, шокиран
😳	Изчервено лице, вина, впечален, горещо, еха, изумен, изчервен, изчервено лице, лице, уау, удивен
🥺	големи очи, защо не, кучешки поглед, лице, милост, много те моля, молба, моля те, умоляване, умоляващо лице
