‾	akara etiti, akara etiti ala, akara mgbakọ elu
🫩	anya ụra, ihu nwere anya ụra, ike gwụrụ, ike ọgwụgwụ
😷	dr, dọkịta, dọkịta anụ ahụ, dọkịta eze, ihu, ihu nwere mkpuchi ihu ngwaọrụ ụlọ ọgwụ, na-arịa ọrịa, nje, nkpuchi, oyi, ọgwụ
🤒	ihu, ihu nwere ngwa ogologo, ngwa ogologo, onye, ọrịa
🤕	bandeeji, bandeji-isi, ewoo, ihu, ihu nwere akwà mkpuchi, merụrụ, mmerụ ahụ
🤢	agbọ agbọ, dị oke njọ, ihu, ihu nkoropu, jọrọ njọ, na-arịa ọrịa, ọgbụgbọ
🤮	agbọ, dị oke njọ, elu, ew, gbụpụ, gbụọ, ihu, ihu na-agbọ agbọ, na-agbọ agbọ, na-anwa agbọ, na-arịa ọrịa
🤧	ahụ ọkụ, flu, gesundheit, ihu, ihu nfụkọ, na-ama uzere, na-arịa ọrịa, uzere
🥵	ahụ ọkụ, ihu, ihu uhie, ihu ọkụ, ire, na-anwụ, na-ekpo ọkụ, na-eku, okpomọkụ, ọrịa strok, ọsụsọ
🥶	acha anụnụ anụnụ, aiz, ezé, ihu, ihu oyi, ihu-acha anụnụ anụnụ, na-atụ oyi, oke oyi, oyi
🥴	ajụ, anya, gbagọrọ agbagọ, ihu, ihu kpọrọ asị, mmanya, mmanya na-egbu, na-ekwekọghị ekwekọ, ọnụ
😵	ajụ, akachiri, anwụọla, anya, ihu, ihu nwere anya a kachiri, ike gwụrụ, kụrụ, na-arịa ọrịa, na-enwe mmetụta, pụọ
😵‍💫	ajụ, ihu nwere anya na-agba gburugburu, mmegharị anya, na-agba gburugburu, nsogbu, whoa
🤯	akpata oyi, gbawa, gbawara, iju anya, isi, isi mere nkụwa, mba, na-agbawa, uche, ụzọ
🤠	ihu, ihu okpu onye ọchụụ nnama, nwanyị ọchụụ nnama, nwoke ọchụụ nnama, okpu
