∇	ስሉስ ኩርናዕ, ናብላ
∈	ባእታ, ባእታ ናይ, ኣባልነት, እኩብ, የጠቃልል
∉	ረቛሒ, ረቛሒ ኣይኰነን
∋	ረቛሒ, ከም ኣባል ሒዙ
∎	q.e.d., qed, መወዳእታ መርትዖ, ምልክት መዛዘሚ, ምልክት መፈጸምታ
∏	n-ኣሃዱ መራብሒ, መራብሒ, ስነ-መጎት
∑	n-ኣሃዱ ድምር, ሕሳብ, ድምር
+	ምልክት ምድማር, ምድማር
±	ምድማር-ምጉዳል
÷	ምልክት ምምቃል, ምምቃል, ኦበልዩስ
×	ምልክት ምርባሕ, ምርባሕ
<	ላቔባ, ላቔባ ምክፋት, ይንእስ
≮	ሕሳብ, ውሑድ ዘይኮነ, ዘይማዕረነት
=	ልክዕ
≠	ልክዕ ዘይኮነ, ማዕርነት
>	ላቔባ, ላቔባ ምዕጻው, ይዓቢ
≯	ሕሳብ, ዓብዪ ዘይኮነ, ዘይማዕረነት
¬	ኣሉታ, ኣይኮነን
|	vሕንጣጥ, ሕንጣጥ, መስመር, ሰፈር ወቕዒ, በትሪ, ቱቦ, ትኹል ሕንጻጽ, ወቅዒ, ጭማራ
~	ቲልደ
−	ምልክት ምጉዳል, ምጉዳል
⁻	ልዕለ-ውራቕ, ልዕለ-ውራቕ ምጉዳል, ምጉዳል
∓	ምድማር-ምጉዳል, ምጉዳል ወይ ምድማር
∕	ሕንጻጽ, ናይ ምምቓል እዝባር, እዝባር, ጋድም ሕንጻጽ
⁄	ሕንጻጽ, ናይ ክፋል እዝባር, ጋድም ሕንጻጽ
∗	ምልክት ኮኾብ ኦፐሬተር, ኮኾብ
∘	ቀለቤታዊ ኦፐሬተር, ኣቀማምጣ, ኦፐሬተር
∙	ምልክት ነጥቢ ኦፐሬተር, ኦፐሬተር
√	መልሲ, ሱርድ, ትርብዒት, ትርብዒትe
∝	ተመጣጠንቲ, ተመጣጣኒነት
∞	ምልክት ደረት ኣልቦነት, ደረት ኣልቦነት
∟	ሕሳብ, ቅኑዕ ኩርናዕ
∠	ኩርናዕ, ዘይቅኑዕ
∣	መቓሊ, ይመቕሎ, ግኒንጎኒይመቕሎ
∥	ግኒንጎኒ
∧	ac, atque, ስነ-መጎት ከምኡ ውን, ወሸለ
∩	ምምሕልላፍ, እኩብ
∪	እኩብ
∫	ኢንተግራል, ካልኩለስ
∬	ካልኩለስ, ድርብ ኢንተግራል
∮	ዓንኬል ኢንተግራል
∴	ስለዚ, ስነ-መጎት
∵	ምኽንያቱ, ስነ-መጎት
∶	ምምዝዛን
∷	ተመጣጠንቲ, ተመጣጠንቲ ዶት, ተመጣጣኒነት
∼	መጸውዒ ቃላት ኦፐሬተር, ኦፐሬተር
∽	መጸውዒ ቃላት, ዝተገልበጠ መጸውዒ ቃላት
∾	ንጋድም ዝተገልበጠ s
≃	ሕሳብ, ንማዕረ ዝተጸግዐ, ዝተጸግዐ
≅	ሕሳብ, ማዕርነት, ምስምዕማዕ, ኣይዞሞርፊዝም, ዳርጋ ማዕረ
≈	ምቅርራብ, ተቃራራቢ, ዳርጋ ልክዕ
≌	ሕሳብ, ማዕርነት, ኩሉ ማዕረ
≒	እቲ ምስሊ ዳርጋ ማዕረ
≖	ሕሳብ, ማዕርነት, ዓንኬል ኣብ ማዕረ
≡	ልክዕ, ስልሲት, ተመሳሳሊ, ተመሳሳሊ ን
≣	ሕሳብ, ማዕርነት, ፍጹም ተመጣጣኒ
≤	ማዕረ, ማዕርነት, ይንእስ, ይንእስ ወይ ማዕረ
≥	ማዕረ, ማዕርነት, ንላዕሊ ወይ ማዕረ
≦	ሕሳብ, ዘይማዕረነት, ዝውሕድ ኣብ ልዕሊ ማዕረ
≧	ሕሳብ, ዘይማዕረ, ዝዓበየ ኣብ ልዕሊ ማዕረ
≪	ሕሳብ, ዘይማዕረነት, ዝያዳ ዝወሓደ
≫	ሕሳብ, ዘይማዕረነት, ዝያዳ ዝዓበየ
≬	ኣብመንጎ
≳	ሕሳብ, ካብ ዝተመጣጠነ ዝዓበየ, ዘይማዕረ
≺	ሕሳብ, መስርዕ ኦፐሬተር, ዝቐደመ
≻	ሕሳብ, መስርዕ ኦፐሬተር, ዝተኸተለ
⊁	ሕሳብ, መስርዕ ኦፐሬተር, ዘይተኸተለ
⊂	ንኡስ እኩብ, ንኡስ እኩብ ናይ, እኩብ
⊃	ሕሳብ, መስርዕ ኦፐሬተር, ግዙፍ መስርዕ
⊆	ንኡስ መስርዕ ማዕረ
⊇	ሕሳብ, ማዕርነት, ግዙፍ መስርዕ ማዕረ
⊕	ምድማር, ኣብ ዓንኬል ምድማር
⊖	ምድምሳስ, ንማዕረ ምክፋል, ኣብ ዓንኬል ምጉዳል
⊗	ምርባሕ, ኣብ ዓንኬል ምርባሕ, ውጥረት
⊘	ሕሳብ, ኣብ ዓንኬል ናይ ምምቃል እዝባር, ከም-ምምቃል
⊙	XNOR, ኣብ ዓንኬል ናይ ነጥቢ ኦፐሬተር, ኦፐሬተር
⊚	ኣብ ዓንኬል ናይ ዓንኬል ኦፐሬተር
⊛	ምልክት ኮኾብ, ኣብ ዓንኬል ናይ ኮኾብ ኦፐሬተር, ኦፐሬተር
⊞	ሕሳብ, ኣብ ትርብዒት ምድማር, ከም-ምድማር
⊟	ሕሳብ, ኣብ ትርብዒት ምጉዳል, ከም-ምጉዳል
⊥	eet, ካብ ደረት ንላዕሊ, ደረት, ፋልሱም
⊮	ኣይሕይሎን
⊰	ሕሳብ, መስርዕ ኦፐሬተር, ኣብ ትሕቲ ርክብ ዝቀደመ
⊱	ሕሳብ, መስርዕ ኦፐሬተር, ኣብ ትሕቲ ርክብ ዝተኸተለ
⋭	ሕሳብ, ንኡስ ጉጅለ ክልስ-ሓሳብ, ከም ልሙድ ዘይሓዘ ንኡስ ጉጅለ ማዕረ
⊶	ናይ መጀመርታ
⊹	ሕሳብ, ብሕታዊ ዝተጣመረ ማትሪክስ, ትርብዒት ማትሪክስ, ዓርሰ-ምጥማር ማትሪክስ
⊿	ሕሳብ, ስሉስ ኩርናዕ, ቅኑዕ ስሉስ ኩርናዕ
⋁	n-ኣሃዱ ስነ-መጎት ወይ, ስነ-መጎት, ዘይምትሕሓዝ
⋂	n-ኣሃዱ መራኽቦ, ሕሳብ, መራኽቦ, መስርዕ ኦፐሬተር
⋃	n-ኣሃዱ ምጽምባር, ሕሳብ, መስርዕ ኦፐሬተር, ምጽምባር
⋅	ነጥቢ ኦፐሬተር, ኦፐሬተር
⋆	ኦፐሬተር, ኮኾብ ኦፐሬተር
⋈	ተፈጥሮኣዊ ምስዓብ, ናይ ክልተኣዊ ኦፐሬተር, ኣብ ክሳድ ምእሳር
⋒	ሕሳብ, መራኽቦ, መስርዕ ኦፐሬተር, ድርብ መራኽቦ
⋘	ሕሳብ, ዘይማዕረነት, ዝያዳ ዝያዳ ዝወሓደ
⋙	ሕሳብ, ዘይማዕረነት, ዝያዳ ዝያዳ ዝዓበየ
⋮	ሕሳብ, ንትኹል ወሳኺቶ, ወሳኺቶ
⋯	ኣብ ማእከል ንጋድም ወሳኺቶ, ወሳኺቶ
⋰	ሕሳብ, ንየማን ቄናን ወሳኺቶ, ወሳኺቶ
⋱	ሕሳብ, ንጸጋም ቄናን ወሳኺቶ, ወሳኺቶ
■	ድፉን ትርብዒት
□	ክፉት ትርብዒት
▢	ክፉት ትርብዒት ምስ ክባዊ ኩርናዕ
▣	ክፉት ትርብዒት ድፉን ትርብዒት ዝሓዘ
▤	ትርብዒት ብጋድም ሕንጻጽ ዝመለአ
▥	ትርብዒት ብትኹል ሕንጻጽ ዝመለአ
▦	ትርብዒት ብትኹልን ግድምን ሕንጻጽ ዝመለአ
▧	ትርብዒት ብንየማን ቄናን ሕንጻጽ ዝመለአ
▨	ትርብዒት ብንጸጋም ቄናን ሕንጻጽ ዝመለአ
▩	ትርብዒት ብየማንን ጸጋምን ቄናን ሕንጻጽ ዝመለአ
▬	ድፉን ርቡዕ ኩርናዕ
▭	ክፉት ርቡዕ ኩርናዕ
▮	ድፉን ትኹል ርቡዕ ኩርናዕ
▰	ድፉን ተመዓራራዪ ርቡዕ ኩርናዕ
▲	መልአ, ምልክት, ስሉስ ኩርናዕ, ንላዕሊ, ንላዕሊ-ዝጠመተ ስሉስ ኩርናዕ መልአ
△	ክፉት ንላዕሊ ዘመልክት ስሉስ ኩርናዕ
▴	ድፉን ንላዕሊ ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
▵	ክፉት ንላዕሊ ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
▷	ክፉት ንየማን ዘመልክት ስሉስ ኩርናዕ
▸	ድፉን ንየማን ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
▹	ክፉት ንየማን ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
►	ድፉን ንየማን ዘመልክት ጠቋሚ
▻	ክፉት ንየማን ዘመልክት ጠቋሚ
▼	መላአ, ምልክት, ንታሕቲ, ንታሕቲ-ዝጠመተ ስሉስ, ንታሕቲ-ዝጠመተ ስሉስ ኩርናዕ መልአ
▽	ክፉት ንታሕቲ ዘመልክት ስሉስ ኩርናዕ
▾	ድፉን ንታሕቲ ዘመልክት ንእሽቶ ስሉስ ኩርናዕ
