‾	overstrek
🫥	deprimert, fjes med stiplet omriss, forsvinner, gjemme seg, introvert, meh, samme det, skjult, smilefjes, stiplet, usynlig
😶‍🌫	distré, fjes i skyer, fraværende, uoppmerksom
😏	fjes, lurt smil, selvtilfreds
😒	fjes, misfornøyd, sur
🙄	fjes, himler med øynene, hva i all verden?, oppgitt, ruller, utrolig, å nei, øyne
😬	fjes, grimase
😮‍💨	fjes, gisper, hviske, lettet, plystre, pust, puster ut, sliten, sukk, utpust, utslitt
🤥	fjes, lyver, løgn, pinocchio
🫨	ansikt, fjes, jordskjelv, omg, overraskelse, panikk, riste, rister, sjokk, skjelvende, skjelvende fjes, sprøtt, vibrerer, wow, ør
🙂‍↔	nei, ristende hode, rister på hodet
🙂‍↕	ja, nikkende hode, nikker
😌	fjes, lettet
😔	alvorlig, fjes, lei seg, tankefull
😪	fjes, søvnig
🤤	fjes, sikle, sikler
😴	fjes, gjesp, god natt, godnatt, natt, snork, sove, sover, søvn, trett, trøtt
🫩	fjes, fjes med poser under øynene, kjedelig, poser, sliten, søvnig, trøtt, utslitt, øyne
😷	bakteriemaske, fjes, fjes med munnbind, sykdom
🤒	fjes, fjes med termometer, syk, termometer
🤕	bandasje, bandasjert hode, fjes, skade, skadet
🤢	fjes, kvalm, oppkast, spy
🤮	fjes, kaster opp, kvalm, oppkast, spy
🤧	fjes, nys, nyser
🥵	feber, heteslag, rød, svetter, varm, varmt fjes
🥶	blå, frost, fryser, istapper, kald, kaldt fjes
🥴	brisen, bølgete munn, full, svimmel, svimmelt fjes, ujevne øyne
😵	fjes, svimmel, ør
😵‍💫	fjes, fjes med spiraløyne, forvirret, hypnotisert, problem, spiral, svimmel, uææ, øyne
🤯	eksploderende hode, forbløffet, overrasket, sjokkert
🤠	cowboy, cowgirl, fjes, fjes med cowboyhatt, hatt
🥳	bursdag, feiring, fest, fløyte, fødselsdag, glad, gratulerer, hatt, hurra, jippi, party, partyfjes
🥸	bart, briller, fjes, fjes med forkledning, forkledning, inkognito, maske, nese, øyenbryn
😎	fjes, kul, lyst, smilefjes med solbriller, sol, solbriller
🤓	begavet, briller, ekspert, fjes, fornøyd nerdefjes, intelligent, lur, nerd, nerdefjes, smart
🧐	fancy, fjes, fjes med monokkel, formell, monokkel, rik, stiv
😕	fjes, forvirret
🫤	fjes, fjes med diagonal munn, forvirret, frustrert, meh, næsj, skeptisk, skrått, skuffet, tja, tvil, uansett, usikker
😟	bekymret, fjes
🙁	fjes, litt surt fjes, trist
☹️	fjes, surt fjes, trist
😮	fjes, forbauset, åpen munn
😯	fjes, overrasket, stum
😲	fjes, overrasket, sjokkert, stum
😳	fjes, rød, rødmer
🥺	bedende fjes, nåde, trygler, valpeøyne
🥹	beundring, fjes som holder tilbake tårene, følelser, glede, gråte, rørt, stolt, takknemlig, trist, tårer, ååå
😦	fjes, oppgitt, overrasket, sjokkert med åpen munn
😧	fjes, lider, pine, smerte
😨	fjes, frykt, redd, skremt
