‾	apọju
👩🏼‍🚒	amọ́lára díẹ̀, obìrin, obìrin panapanọ́, obìrin panapanọ́: amọ́lára díẹ̀, panọ́panọ́, ọkọ̀ panọ́pnọ́
👩🏽‍🚒	amọ́láwọ̀ díẹ̀, obìrin, obìrin panapanọ́, obìrin panapanọ́: amọ́láwọ̀ díẹ̀, panọ́panọ́, ọkọ̀ panọ́pnọ́
👩🏾‍🚒	adúláwọ̀ díẹ̀, obìrin, obìrin panapanọ́, obìrin panapanọ́: adúláwọ̀ díẹ̀, panọ́panọ́, ọkọ̀ panọ́pnọ́
👩🏿‍🚒	adúláwọ̀, obìrin, obìrin panapanọ́, obìrin panapanọ́: adúláwọ̀, panọ́panọ́, ọkọ̀ panọ́pnọ́
👮	òṣìṣẹ́, Ọlọpa, ọlọ́pàá
👮🏻	amọ́lára, òṣìṣẹ́, Ọlọpa, Ọlọpa: amọ́lára, ọlọ́pàá
👮🏼	amọ́lára díẹ̀, òṣìṣẹ́, Ọlọpa, Ọlọpa: amọ́lára díẹ̀, ọlọ́pàá
👮🏽	amọ́láwọ̀ díẹ̀, òṣìṣẹ́, Ọlọpa, Ọlọpa: amọ́láwọ̀ díẹ̀, ọlọ́pàá
👮🏾	adúláwọ̀ díẹ̀, òṣìṣẹ́, Ọlọpa, Ọlọpa: adúláwọ̀ díẹ̀, ọlọ́pàá
👮🏿	adúláwọ̀, òṣìṣẹ́, Ọlọpa, Ọlọpa: adúláwọ̀, ọlọ́pàá
👮‍♂	òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọlọ́pàá
👮🏻‍♂	amọ́lára, òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọkùnrin ọlọpa: amọ́lára, ọlọ́pàá
👮🏼‍♂	amọ́lára díẹ̀, òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọkùnrin ọlọpa: amọ́lára díẹ̀, ọlọ́pàá
👮🏽‍♂	amọ́láwọ̀ díẹ̀, òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọkùnrin ọlọpa: amọ́láwọ̀ díẹ̀, ọlọ́pàá
👮🏾‍♂	adúláwọ̀ díẹ̀, òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọkùnrin ọlọpa: adúláwọ̀ díẹ̀, ọlọ́pàá
👮🏿‍♂	adúláwọ̀, òṣìṣẹ́, ọkùnrin, ọkùnrin ọlọpa, ọkùnrin ọlọpa: adúláwọ̀, ọlọ́pàá
👮‍♀	obìnrin, obìnrin ọlọpa, òṣìṣẹ́, ọlọ́pàá
👮🏻‍♀	amọ́lára, obìnrin, obìnrin ọlọpa, obìnrin ọlọpa: amọ́lára, òṣìṣẹ́, ọlọ́pàá
👮🏼‍♀	amọ́lára díẹ̀, obìnrin, obìnrin ọlọpa, obìnrin ọlọpa: amọ́lára díẹ̀, òṣìṣẹ́, ọlọ́pàá
👮🏽‍♀	amọ́láwọ̀ díẹ̀, obìnrin, obìnrin ọlọpa, obìnrin ọlọpa: amọ́láwọ̀ díẹ̀, òṣìṣẹ́, ọlọ́pàá
👮🏾‍♀	adúláwọ̀ díẹ̀, obìnrin, obìnrin ọlọpa, obìnrin ọlọpa: adúláwọ̀ díẹ̀, òṣìṣẹ́, ọlọ́pàá
👮🏿‍♀	adúláwọ̀, obìnrin, obìnrin ọlọpa, obìnrin ọlọpa: adúláwọ̀, òṣìṣẹ́, ọlọ́pàá
🕵️	aṣèwádìí, ọ̀tẹlèmúyé
🕵🏻	amọ́lára, aṣèwádìí, ọ̀tẹlèmúyé, ọ̀tẹlèmúyé: amọ́lára
🕵🏼	amọ́lára díẹ̀, aṣèwádìí, ọ̀tẹlèmúyé, ọ̀tẹlèmúyé: amọ́lára díẹ̀
🕵🏽	amọ́láwọ̀ díẹ̀, aṣèwádìí, ọ̀tẹlèmúyé, ọ̀tẹlèmúyé: amọ́láwọ̀ díẹ̀
🕵🏾	adúláwọ̀ díẹ̀, aṣèwádìí, ọ̀tẹlèmúyé, ọ̀tẹlèmúyé: adúláwọ̀ díẹ̀
🕵🏿	adúláwọ̀, aṣèwádìí, ọ̀tẹlèmúyé, ọ̀tẹlèmúyé: adúláwọ̀
🕵‍♂	aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé, ọ̀tẹlèmúyé
🕵🏻‍♂	amọ́lára, aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé: amọ́lára, ọ̀tẹlèmúyé
🕵🏼‍♂	amọ́lára díẹ̀, aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé: amọ́lára díẹ̀, ọ̀tẹlèmúyé
🕵🏽‍♂	amọ́láwọ̀ díẹ̀, aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé: amọ́láwọ̀ díẹ̀, ọ̀tẹlèmúyé
🕵🏾‍♂	adúláwọ̀ díẹ̀, aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé: adúláwọ̀ díẹ̀, ọ̀tẹlèmúyé
🕵🏿‍♂	adúláwọ̀, aṣèwádìí, ọkùnrin, ọkùnrin ọ̀tẹlèmúyé: adúláwọ̀, ọ̀tẹlèmúyé
🕵‍♀	aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé, ọ̀tẹlèmúyé
🕵🏻‍♀	amọ́lára, aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé: amọ́lára, ọ̀tẹlèmúyé
🕵🏼‍♀	amọ́lára díẹ̀, aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé: amọ́lára díẹ̀, ọ̀tẹlèmúyé
🕵🏽‍♀	amọ́láwọ̀ díẹ̀, aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé: amọ́láwọ̀ díẹ̀, ọ̀tẹlèmúyé
🕵🏾‍♀	adúláwọ̀ díẹ̀, aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé: adúláwọ̀ díẹ̀, ọ̀tẹlèmúyé
🕵🏿‍♀	adúláwọ̀, aṣèwádìí, obìnrin, obìnrin ọ̀tẹlèmúyé: adúláwọ̀, ọ̀tẹlèmúyé
💂	Oluṣọ
💂🏻	Oluṣọ, Oluṣọ: amọ́lára, amọ́lára
💂🏼	Oluṣọ, Oluṣọ: amọ́lára díẹ̀, amọ́lára díẹ̀
💂🏽	Oluṣọ, Oluṣọ: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀
💂🏾	Oluṣọ, Oluṣọ: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀
💂🏿	Oluṣọ, Oluṣọ: adúláwọ̀, adúláwọ̀
💂‍♂	olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́
💂🏻‍♂	amọ́lára, olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́: amọ́lára
💂🏼‍♂	amọ́lára díẹ̀, olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́: amọ́lára díẹ̀
💂🏽‍♂	amọ́láwọ̀ díẹ̀, olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́: amọ́láwọ̀ díẹ̀
💂🏾‍♂	adúláwọ̀ díẹ̀, olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́: adúláwọ̀ díẹ̀
💂🏿‍♂	adúláwọ̀, olùṣọ́, ọkùnrin, ọkùnrin olùṣọ́: adúláwọ̀
💂‍♀	obìnrin, obìnrin olùṣọ́, olùṣọ́
💂🏻‍♀	amọ́lára, obìnrin, obìnrin olùṣọ́: amọ́lára, olùṣọ́
💂🏼‍♀	amọ́lára díẹ̀, obìnrin, obìnrin olùṣọ́: amọ́lára díẹ̀, olùṣọ́
💂🏽‍♀	amọ́láwọ̀ díẹ̀, obìnrin, obìnrin olùṣọ́: amọ́láwọ̀ díẹ̀, olùṣọ́
💂🏾‍♀	adúláwọ̀ díẹ̀, obìnrin, obìnrin olùṣọ́: adúláwọ̀ díẹ̀, olùṣọ́
💂🏿‍♀	adúláwọ̀, obìnrin, obìnrin olùṣọ́: adúláwọ̀, olùṣọ́
🥷	ajagun, ninja, nínjà, oja, sápamọ́
🥷🏻	ajagun, amọ́lára, ninja, nínjà, nínjà: amọ́lára, oja, sápamọ́
🥷🏼	ajagun, amọ́lára díẹ̀, ninja, nínjà, nínjà: amọ́lára díẹ̀, oja, sápamọ́
🥷🏽	ajagun, amọ́láwọ̀ díẹ̀, ninja, nínjà, nínjà: amọ́láwọ̀ díẹ̀, oja, sápamọ́
🥷🏾	adúláwọ̀ díẹ̀, ajagun, ninja, nínjà, nínjà: adúláwọ̀ díẹ̀, oja, sápamọ́
🥷🏿	adúláwọ̀, ajagun, ninja, nínjà, nínjà: adúláwọ̀, oja, sápamọ́
👷	Oṣiṣẹ Ikọle, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷🏻	Oṣiṣẹ Ikọle, Oṣiṣẹ Ikọle: amọ́lára, amọ́lára, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷🏼	Oṣiṣẹ Ikọle, Oṣiṣẹ Ikọle: amọ́lára díẹ̀, amọ́lára díẹ̀, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷🏽	Oṣiṣẹ Ikọle, Oṣiṣẹ Ikọle: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷🏾	Oṣiṣẹ Ikọle, Oṣiṣẹ Ikọle: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷🏿	Oṣiṣẹ Ikọle, Oṣiṣẹ Ikọle: adúláwọ̀, adúláwọ̀, fìlà, òṣiṣẹ́ ìkọle, òṣìṣẹ́
👷‍♂	òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣìṣẹ́, ọkùnrin
👷🏻‍♂	amọ́lára, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣiṣẹ́ ìkọ́lé ọkùnrin: amọ́lára, òṣìṣẹ́, ọkùnrin
👷🏼‍♂	amọ́lára díẹ̀, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣiṣẹ́ ìkọ́lé ọkùnrin: amọ́lára díẹ̀, òṣìṣẹ́, ọkùnrin
👷🏽‍♂	amọ́láwọ̀ díẹ̀, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣiṣẹ́ ìkọ́lé ọkùnrin: amọ́láwọ̀ díẹ̀, òṣìṣẹ́, ọkùnrin
👷🏾‍♂	adúláwọ̀ díẹ̀, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣiṣẹ́ ìkọ́lé ọkùnrin: adúláwọ̀ díẹ̀, òṣìṣẹ́, ọkùnrin
👷🏿‍♂	adúláwọ̀, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin, òṣiṣẹ́ ìkọ́lé ọkùnrin: adúláwọ̀, òṣìṣẹ́, ọkùnrin
👷‍♀	obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣìṣẹ́
👷🏻‍♀	amọ́lára, obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣiṣẹ́ ìkọ́lé obìnrin: amọ́lára, òṣìṣẹ́
👷🏼‍♀	amọ́lára díẹ̀, obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣiṣẹ́ ìkọ́lé obìnrin: amọ́lára díẹ̀, òṣìṣẹ́
👷🏽‍♀	amọ́láwọ̀ díẹ̀, obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣiṣẹ́ ìkọ́lé obìnrin: amọ́láwọ̀ díẹ̀, òṣìṣẹ́
👷🏾‍♀	adúláwọ̀ díẹ̀, obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣiṣẹ́ ìkọ́lé obìnrin: adúláwọ̀ díẹ̀, òṣìṣẹ́
👷🏿‍♀	adúláwọ̀, obìnrin, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin, òṣiṣẹ́ ìkọ́lé obìnrin: adúláwọ̀, òṣìṣẹ́
🫅	idile oba, idíle oba, ènìyàn pẹ̀lú adé, ọmọ idile ọba
🫅🏻	amọ́lára, idile oba, idíle oba, ènìyàn pẹ̀lú adé, ènìyàn pẹ̀lú adé: amọ́lára, ọmọ idile ọba
🫅🏼	amọ́lára díẹ̀, idile oba, idíle oba, ènìyàn pẹ̀lú adé, ènìyàn pẹ̀lú adé: amọ́lára díẹ̀, ọmọ idile ọba
🫅🏽	amọ́láwọ̀ díẹ̀, idile oba, idíle oba, ènìyàn pẹ̀lú adé, ènìyàn pẹ̀lú adé: amọ́láwọ̀ díẹ̀, ọmọ idile ọba
🫅🏾	adúláwọ̀ díẹ̀, idile oba, idíle oba, ènìyàn pẹ̀lú adé, ènìyàn pẹ̀lú adé: adúláwọ̀ díẹ̀, ọmọ idile ọba
🫅🏿	adúláwọ̀, idile oba, idíle oba, ènìyàn pẹ̀lú adé, ènìyàn pẹ̀lú adé: adúláwọ̀, ọmọ idile ọba
🤴	Ọmọkunrin Alade
🤴🏻	amọ́lára, Ọmọkunrin Alade, Ọmọkunrin Alade: amọ́lára
🤴🏼	amọ́lára díẹ̀, Ọmọkunrin Alade, Ọmọkunrin Alade: amọ́lára díẹ̀
🤴🏽	amọ́láwọ̀ díẹ̀, Ọmọkunrin Alade, Ọmọkunrin Alade: amọ́láwọ̀ díẹ̀
🤴🏾	adúláwọ̀ díẹ̀, Ọmọkunrin Alade, Ọmọkunrin Alade: adúláwọ̀ díẹ̀
🤴🏿	adúláwọ̀, Ọmọkunrin Alade, Ọmọkunrin Alade: adúláwọ̀
👸	àlá, ìtàn ọmọdé, Ọmọbinrin Alade
👸🏻	amọ́lára, àlá, ìtàn ọmọdé, Ọmọbinrin Alade, Ọmọbinrin Alade: amọ́lára
👸🏼	amọ́lára díẹ̀, àlá, ìtàn ọmọdé, Ọmọbinrin Alade, Ọmọbinrin Alade: amọ́lára díẹ̀
👸🏽	amọ́láwọ̀ díẹ̀, àlá, ìtàn ọmọdé, Ọmọbinrin Alade, Ọmọbinrin Alade: amọ́láwọ̀ díẹ̀
👸🏾	adúláwọ̀ díẹ̀, àlá, ìtàn ọmọdé, Ọmọbinrin Alade, Ọmọbinrin Alade: adúláwọ̀ díẹ̀
👸🏿	adúláwọ̀, àlá, ìtàn ọmọdé, Ọmọbinrin Alade, Ọmọbinrin Alade: adúláwọ̀
👳	láwàní, Ẹni wọ Lawani
👳🏻	amọ́lára, láwàní, Ẹni wọ Lawani, Ẹni wọ Lawani: amọ́lára
👳🏼	amọ́lára díẹ̀, láwàní, Ẹni wọ Lawani, Ẹni wọ Lawani: amọ́lára díẹ̀
👳🏽	amọ́láwọ̀ díẹ̀, láwàní, Ẹni wọ Lawani, Ẹni wọ Lawani: amọ́láwọ̀ díẹ̀
👳🏾	adúláwọ̀ díẹ̀, láwàní, Ẹni wọ Lawani, Ẹni wọ Lawani: adúláwọ̀ díẹ̀
👳🏿	adúláwọ̀, láwàní, Ẹni wọ Lawani, Ẹni wọ Lawani: adúláwọ̀
👳‍♂	láwàní, ọkùnrin, ọkùnrin tó dé láwàní
👳🏻‍♂	amọ́lára, láwàní, ọkùnrin, ọkùnrin tó dé láwàní, ọkùnrin tó dé láwàní: amọ́lára
👳🏼‍♂	amọ́lára díẹ̀, láwàní, ọkùnrin, ọkùnrin tó dé láwàní, ọkùnrin tó dé láwàní: amọ́lára díẹ̀
👳🏽‍♂	amọ́láwọ̀ díẹ̀, láwàní, ọkùnrin, ọkùnrin tó dé láwàní, ọkùnrin tó dé láwàní: amọ́láwọ̀ díẹ̀
👳🏾‍♂	adúláwọ̀ díẹ̀, láwàní, ọkùnrin, ọkùnrin tó dé láwàní, ọkùnrin tó dé láwàní: adúláwọ̀ díẹ̀
👳🏿‍♂	adúláwọ̀, láwàní, ọkùnrin, ọkùnrin tó dé láwàní, ọkùnrin tó dé láwàní: adúláwọ̀
👳‍♀	láwàní, obìnrin, obìnrin tó dé láwàní
👳🏻‍♀	amọ́lára, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amọ́lára
👳🏼‍♀	amọ́lára díẹ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amọ́lára díẹ̀
👳🏽‍♀	amọ́láwọ̀ díẹ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: amọ́láwọ̀ díẹ̀
👳🏾‍♀	adúláwọ̀ díẹ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: adúláwọ̀ díẹ̀
👳🏿‍♀	adúláwọ̀, láwàní, obìnrin, obìnrin tó dé láwàní, obìnrin tó dé láwàní: adúláwọ̀
👲	fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, ọkùnrin
👲🏻	amọ́lára, fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, Ọkunrin Pẹlu Fila Ṣainisi: amọ́lára, ọkùnrin
👲🏼	amọ́lára díẹ̀, fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, Ọkunrin Pẹlu Fila Ṣainisi: amọ́lára díẹ̀, ọkùnrin
👲🏽	amọ́láwọ̀ díẹ̀, fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, Ọkunrin Pẹlu Fila Ṣainisi: amọ́láwọ̀ díẹ̀, ọkùnrin
👲🏾	adúláwọ̀ díẹ̀, fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, Ọkunrin Pẹlu Fila Ṣainisi: adúláwọ̀ díẹ̀, ọkùnrin
👲🏿	adúláwọ̀, fìlà, gua pi mao, Ọkunrin Pẹlu Fila Ṣainisi, Ọkunrin Pẹlu Fila Ṣainisi: adúláwọ̀, ọkùnrin
🧕	Gèlè, gèlè àwọn sípánì, obinrin tó wé gèlè, ìbòrí, ìbòrí àwọn júù
🧕🏻	Gèlè, amọ́lára, gèlè àwọn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amọ́lára, ìbòrí, ìbòrí àwọn júù
🧕🏼	Gèlè, amọ́lára díẹ̀, gèlè àwọn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amọ́lára díẹ̀, ìbòrí, ìbòrí àwọn júù
🧕🏽	Gèlè, amọ́láwọ̀ díẹ̀, gèlè àwọn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: amọ́láwọ̀ díẹ̀, ìbòrí, ìbòrí àwọn júù
🧕🏾	Gèlè, adúláwọ̀ díẹ̀, gèlè àwọn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: adúláwọ̀ díẹ̀, ìbòrí, ìbòrí àwọn júù
🧕🏿	Gèlè, adúláwọ̀, gèlè àwọn sípánì, obinrin tó wé gèlè, obinrin tó wé gèlè: adúláwọ̀, ìbòrí, ìbòrí àwọn júù
🤵	kóòtù, Ọkunrin Pẹlu Kootu, ọkùnrin, ọkọ ìyàwó
🤵🏻	amọ́lára, kóòtù, Ọkunrin Pẹlu Kootu, Ọkunrin Pẹlu Kootu: amọ́lára, ọkùnrin, ọkọ ìyàwó
🤵🏼	amọ́lára díẹ̀, kóòtù, Ọkunrin Pẹlu Kootu, Ọkunrin Pẹlu Kootu: amọ́lára díẹ̀, ọkùnrin, ọkọ ìyàwó
🤵🏽	amọ́láwọ̀ díẹ̀, kóòtù, Ọkunrin Pẹlu Kootu, Ọkunrin Pẹlu Kootu: amọ́láwọ̀ díẹ̀, ọkùnrin, ọkọ ìyàwó
🤵🏾	adúláwọ̀ díẹ̀, kóòtù, Ọkunrin Pẹlu Kootu, Ọkunrin Pẹlu Kootu: adúláwọ̀ díẹ̀, ọkùnrin, ọkọ ìyàwó
🤵🏿	adúláwọ̀, kóòtù, Ọkunrin Pẹlu Kootu, Ọkunrin Pẹlu Kootu: adúláwọ̀, ọkùnrin, ọkọ ìyàwó
🤵‍♂	kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́
🤵🏻‍♂	amọ́lára, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́lára
🤵🏼‍♂	amọ́lára díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́lára díẹ̀
🤵🏽‍♂	amọ́láwọ̀ díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́láwọ̀ díẹ̀
🤵🏾‍♂	adúláwọ̀ díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: adúláwọ̀ díẹ̀
🤵🏿‍♂	adúláwọ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, ọkùnrin, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, ọkùnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: adúláwọ̀
🤵‍♀	kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́
🤵🏻‍♀	amọ́lára, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́lára
🤵🏼‍♀	amọ́lára díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́lára díẹ̀
🤵🏽‍♀	amọ́láwọ̀ díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: amọ́láwọ̀ díẹ̀
🤵🏾‍♀	adúláwọ̀ díẹ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: adúláwọ̀ díẹ̀
🤵🏿‍♀	adúláwọ̀, kóòtù àwọ̀lọsóde ìrọ̀lẹ́, obìnrin, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́, obìnrin tó wọ kóòtù ìlọsóde ìrọ̀lẹ́: adúláwọ̀
👰	Iyawo Pẹlu Iboju, ìbòjú, ìgbéyàwó, ìyàwó
👰🏻	Iyawo Pẹlu Iboju, Iyawo Pẹlu Iboju: amọ́lára, amọ́lára, ìbòjú, ìgbéyàwó, ìyàwó
👰🏼	Iyawo Pẹlu Iboju, Iyawo Pẹlu Iboju: amọ́lára díẹ̀, amọ́lára díẹ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏽	Iyawo Pẹlu Iboju, Iyawo Pẹlu Iboju: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏾	Iyawo Pẹlu Iboju, Iyawo Pẹlu Iboju: adúláwọ̀ díẹ̀, adúláwọ̀ díẹ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰🏿	Iyawo Pẹlu Iboju, Iyawo Pẹlu Iboju: adúláwọ̀, adúláwọ̀, ìbòjú, ìgbéyàwó, ìyàwó
👰‍♂	aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú
👰🏻‍♂	amọ́lára, aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú, ọkùnrin tó fi aṣọ bojú: amọ́lára
👰🏼‍♂	amọ́lára díẹ̀, aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú, ọkùnrin tó fi aṣọ bojú: amọ́lára díẹ̀
👰🏽‍♂	amọ́láwọ̀ díẹ̀, aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú, ọkùnrin tó fi aṣọ bojú: amọ́láwọ̀ díẹ̀
👰🏾‍♂	adúláwọ̀ díẹ̀, aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú, ọkùnrin tó fi aṣọ bojú: adúláwọ̀ díẹ̀
👰🏿‍♂	adúláwọ̀, aṣọ ìbojú, ọkùnrin, ọkùnrin tó fi aṣọ bojú, ọkùnrin tó fi aṣọ bojú: adúláwọ̀
👰‍♀	aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú
👰🏻‍♀	amọ́lára, aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú, obìnrin tó fi aṣọ bojú: amọ́lára
👰🏼‍♀	amọ́lára díẹ̀, aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú, obìnrin tó fi aṣọ bojú: amọ́lára díẹ̀
👰🏽‍♀	amọ́láwọ̀ díẹ̀, aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú, obìnrin tó fi aṣọ bojú: amọ́láwọ̀ díẹ̀
👰🏾‍♀	adúláwọ̀ díẹ̀, aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú, obìnrin tó fi aṣọ bojú: adúláwọ̀ díẹ̀
👰🏿‍♀	adúláwọ̀, aṣọ ìbojú, obìnrin, obìnrin tó fi aṣọ bojú, obìnrin tó fi aṣọ bojú: adúláwọ̀
🤰	alaboyun, obinrin, obinrin alaboyun
🤰🏻	alaboyun, amọ́lára, obinrin, obinrin alaboyun: amọ́lára
🤰🏼	alaboyun, amọ́lára díẹ̀, obinrin, obinrin alaboyun: amọ́lára díẹ̀
🤰🏽	alaboyun, amọ́láwọ̀ díẹ̀, obinrin, obinrin alaboyun: amọ́láwọ̀ díẹ̀
🤰🏾	adúláwọ̀ díẹ̀, alaboyun, obinrin, obinrin alaboyun: adúláwọ̀ díẹ̀
🤰🏿	adúláwọ̀, alaboyun, obinrin, obinrin alaboyun: adúláwọ̀
🫃	aláboyún ọkùnrin, ikù, kún, lóyún ọkùnrin, tobi
🫃🏻	aláboyún ọkùnrin, aláboyún ọkùnrin: amọ́lára, amọ́lára, ikù, kún, lóyún ọkùnrin, tobi
🫃🏼	aláboyún ọkùnrin, aláboyún ọkùnrin: amọ́lára díẹ̀, amọ́lára díẹ̀, ikù, kún, lóyún ọkùnrin, tobi
🫃🏽	aláboyún ọkùnrin, aláboyún ọkùnrin: amọ́láwọ̀ díẹ̀, amọ́láwọ̀ díẹ̀, ikù, kún, lóyún ọkùnrin, tobi
