‾	надчеркивание, ҫӳлтен йӗр
🤏🏼	"сахал", "сахал"алӑ сулни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤏🏽	"сахал", "сахал"алӑ сулни: сӑран вӑтам тонӗ, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал, сӑран вӑтам тонӗ
🤏🏾	"сахал", "сахал"алӑ сулни: сӑран вӑтам тӗксӗм тонӗ, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал, сӑран вӑтам тӗксӗм тонӗ
🤏🏿	"сахал", "сахал"алӑ сулни: сӑран тӗксӗм тонӗ, аллипе, алӑ, кӑшт ҫеҫ, кӑштах, пысӑках мар, сахал, сӑран тӗксӗм тонӗ
✌️	V, V алӑ сулни, алӑ, мир, пӳрне, триумф, ҫӗнтерӳ
✌🏻	V, V алӑ сулни: сӑран ҫутӑ тӗсӗ, алӑ, мир, пӳрне, сӑран ҫутӑ тӗсӗ, триумф, ҫӗнтерӳ
✌🏼	V, V алӑ сулни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, алӑ, мир, пӳрне, триумф, ҫӗнтерӳ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
✌🏽	V, V алӑ сулни: сӑран вӑтам тонӗ, алӑ, мир, пӳрне, сӑран вӑтам тонӗ, триумф, ҫӗнтерӳ
✌🏾	V, V алӑ сулни: сӑран вӑтам тӗксӗм тонӗ, алӑ, мир, пӳрне, сӑран вӑтам тӗксӗм тонӗ, триумф, ҫӗнтерӳ
✌🏿	V, V алӑ сулни: сӑран тӗксӗм тонӗ, алӑ, мир, пӳрне, сӑран тӗксӗм тонӗ, триумф, ҫӗнтерӳ
🤞	пӳрнесене, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем, ӑнӑҫу, ӑнӑҫу алтупанӗсене
🤞🏻	пӳрнесене, сӑран ҫутӑ тӗсӗ, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем: сӑран ҫутӑ тӗсӗ, ӑнӑҫу, ӑнӑҫу алтупанӗсене
🤞🏼	пӳрнесене, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ӑнӑҫу, ӑнӑҫу алтупанӗсене, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤞🏽	пӳрнесене, сӑран вӑтам тонӗ, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем: сӑран вӑтам тонӗ, ӑнӑҫу, ӑнӑҫу алтупанӗсене
🤞🏾	пӳрнесене, сӑран вӑтам тӗксӗм тонӗ, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем: сӑран вӑтам тӗксӗм тонӗ, ӑнӑҫу, ӑнӑҫу алтупанӗсене
🤞🏿	пӳрнесене, сӑран тӗксӗм тонӗ, турттару, тӳрлетӗр, хӗреслетнӗ пӳрнесене, хӗреслетнӗ тусан, хӗреслетсе, хӗреслӗ пӳрнесем: сӑран тӗксӗм тонӗ, ӑнӑҫу, ӑнӑҫу алтупанӗсене
🫰	"укҫа" паллă, ах тур хаклӑ, кӑкару, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ
🫰🏻	"укҫа" паллă: сӑран ҫутӑ тӗсӗ, ах тур хаклӑ, кӑкару, сӑран ҫутӑ тӗсӗ, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ
🫰🏼	"укҫа" паллă: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ах тур хаклӑ, кӑкару, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🫰🏽	"укҫа" паллă: сӑран вӑтам тонӗ, ах тур хаклӑ, кӑкару, сӑран вӑтам тонӗ, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ
🫰🏾	"укҫа" паллă: сӑран вӑтам тӗксӗм тонӗ, ах тур хаклӑ, кӑкару, сӑран вӑтам тӗксӗм тонӗ, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ
🫰🏿	"укҫа" паллă: сӑран тӗксӗм тонӗ, ах тур хаклӑ, кӑкару, сӑран тӗксӗм тонӗ, укҫа хакĕ, хакĕ аванах пысăк, хаклӑ
🤟	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, юрататӑп сана
🤟🏻	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, сӑран ҫутӑ тӗсӗ, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, эпӗ-сана-юрататӑп: сӑран ҫутӑ тӗсӗ, юрататӑп сана
🤟🏼	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, эпӗ-сана-юрататӑп: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, юрататӑп сана, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤟🏽	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, сӑран вӑтам тонӗ, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, эпӗ-сана-юрататӑп: сӑран вӑтам тонӗ, юрататӑп сана
🤟🏾	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, сӑран вӑтам тӗксӗм тонӗ, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, эпӗ-сана-юрататӑп: сӑран вӑтам тӗксӗм тонӗ, юрататӑп сана
🤟🏿	ILY, аллу, алӑпа, виҫӗ пӳрне, паллӑсен чӗлхи, сулатӑп, сӑран тӗксӗм тонӗ, хӑлхасӑр чӗлхе, эпӗ сана юрататӑп, эпӗ-сана-юрататӑп, эпӗ-сана-юрататӑп: сӑран тӗксӗм тонӗ, юрататӑп сана
🤘	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни, фанат, чӑнкӑ
🤘🏻	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, фанат, чӑнкӑ
🤘🏼	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, фанат, чӑнкӑ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤘🏽	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, фанат, чӑнкӑ
🤘🏾	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, фанат, чӑнкӑ
🤘🏿	алӑ, алӑпа, качака, металл, пӳрнесем, рок, рокер аллипе, рокер алӑпа сулни: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, фанат, чӑнкӑ
🤙	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, шӑнкӑртаттар, шӑнкӑртаттар мана
🤙🏻	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă: сӑран ҫутӑ тӗсӗ, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, сӑран ҫутӑ тӗсӗ, шӑнкӑртаттар, шӑнкӑртаттар мана
🤙🏼	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, шӑнкӑртаттар, шӑнкӑртаттар мана, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🤙🏽	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă: сӑран вӑтам тонӗ, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, сӑран вӑтам тонӗ, шӑнкӑртаттар, шӑнкӑртаттар мана
🤙🏾	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă: сӑран вӑтам тӗксӗм тонӗ, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, сӑран вӑтам тӗксӗм тонӗ, шӑнкӑртаттар, шӑнкӑртаттар мана
🤙🏿	"шӑнкӑртаттар мана", "шӑнкӑртаттар-ха мана" паллă: сӑран тӗксӗм тонӗ, аллипе "шӑнкӑртаттар мана", алӑ, набер, сулахаялла кӑтартакан пӳрнеалӑпа, сулса, сӑран тӗксӗм тонӗ, шӑнкӑртаттар, шӑнкӑртаттар мана
👈️	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне, шӗвӗр пӳрне
👈🏻	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, шӗвӗр пӳрне
👈🏼	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, шӗвӗр пӳрне, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👈🏽	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, шӗвӗр пӳрне
👈🏾	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, шӗвӗр пӳрне
👈🏿	направлени, пӳрне, сулахая, сулахаялла, сулахаялла кӑтартакан, сулахаялла кӑтартакан пӳрне: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, шӗвӗр пӳрне
👉️	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне, шӗвӗр пӳрне
👉🏻	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, шӗвӗр пӳрне
👉🏼	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, шӗвӗр пӳрне, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👉🏽	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, шӗвӗр пӳрне
👉🏾	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, шӗвӗр пӳрне
👉🏿	пӳрне, сылтӑмалла, сылтӑмалла кӑтартакан, сылтӑмалла кӑтартакан пӳрне: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, шӗвӗр пӳрне
👆️	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех
👆🏻	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех
👆🏼	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👆🏽	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех
👆🏾	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех
👆🏿	алӑ, пӑх, пӳрне, пӳрнене ҫӳлелле кӑтарт: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, унта, шӗвӗр пӳрне, ҫӳлелле, ҫӳлелле кӑтартакан пӳрне, ҫӳлерех
🖕	алӑ, вӑта, вӑта пӳрне, пӳрне, фак
🖕🏻	алӑ, вӑта, вӑта пӳрне: сӑран ҫутӑ тӗсӗ, пӳрне, сӑран ҫутӑ тӗсӗ, фак
🖕🏼	алӑ, вӑта, вӑта пӳрне: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, пӳрне, фак, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🖕🏽	алӑ, вӑта, вӑта пӳрне: сӑран вӑтам тонӗ, пӳрне, сӑран вӑтам тонӗ, фак
🖕🏾	алӑ, вӑта, вӑта пӳрне: сӑран вӑтам тӗксӗм тонӗ, пӳрне, сӑран вӑтам тӗксӗм тонӗ, фак
🖕🏿	алӑ, вӑта, вӑта пӳрне: сӑран тӗксӗм тонӗ, пӳрне, сӑран тӗксӗм тонӗ, фак
👇️	алӑ, аялалла, кӑтарту, пӳрне, пӳрне аялалла кӑтартакан, пӳрнене аялалла кӑтарт, шӗвӗр пӳрне
👇🏻	алӑ, аялалла, кӑтарту, пӳрне, пӳрне аялалла кӑтартакан, пӳрнене аялалла кӑтарт: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, шӗвӗр пӳрне
👇🏼	алӑ, аялалла, кӑтарту, пӳрне, пӳрне аялалла кӑтартакан, пӳрнене аялалла кӑтарт: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, шӗвӗр пӳрне, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👇🏽	алӑ, аялалла, кӑтарту, пӳрне, пӳрне аялалла кӑтартакан, пӳрнене аялалла кӑтарт: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, шӗвӗр пӳрне
👇🏾	алӑ, аялалла, кӑтарту, пӳрне, пӳрне аялалла кӑтартакан, пӳрнене аялалла кӑтарт: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, шӗвӗр пӳрне
