‾	ขีดบน
⊖	ความต่างแบบสมมาตร, เครื่องหมายลบในวงกลม
⊗	ผลคูณ, เครื่องหมายคูณในวงกลม, เทนเซอร์
⊘	การหาร, คณิตศาสตร์, สแลชหารในวงกลม
⊙	XNOR, ตัวดำเนินการ, ตัวดำเนินการจุดในวงกลม
⊚	ตัวดำเนินการวงแหวนในวงกลม
⊛	ดอกจัน, ตัวดำเนินการ, ตัวดำเนินการดอกจันในวงกลม
⊞	การบวก, คณิตศาสตร์, สี่เหลี่ยมจัตุรัส, เครื่องหมาย, เครื่องหมายบวกในสี่เหลี่ยมจัตุรัส
⊟	การลบ, คณิตศาสตร์, สี่เหลี่ยมจัตุรัส, เครื่องหมาย, เครื่องหมายลบในสี่เหลี่ยมจัตุรัส
⊥	แทคขึ้น
⊮	ไม่บังคับ
⊰	คณิตศาสตร์, ตัวดำเนินการของเซต, นำหน้าภายใต้ความสัมพันธ์
⊱	คณิตศาสตร์, ตัวดำเนินการของเซต, ตามหลังภายใต้ความสัมพันธ์
⋭	คณิตศาสตร์, ทฤษฎีกลุ่ม, ไม่มีในฐานะเท่ากับกลุ่มย่อยปกติ
⊶	ต้นกำเนิด
⊹	คณิตศาสตร์, เมทริกซ์จัตุรัส, เมทริกซ์ผูกพันในตัว, เมทริกซ์สังยุคเอร์มีเชียน
⊿	คณิตศาสตร์, มุมฉาก, สามเหลี่ยมมุมฉาก
⋁	ตรรกศาสตร์, ประพจน์เลือก, หรือเชิงตรรกะจำนวนมาก
⋂	คณิตศาสตร์, ตัวดำเนินการของเซต, อินเตอร์เซกชัน, อินเตอร์เซกชันจำนวนมาก
⋃	คณิตศาสตร์, ตัวดำเนินการของเซต, ยูเนียน, ยูเนียนจำนวนมาก
⋅	ตัวดำเนินการจุด
⋆	ตัวดำเนินการ, ตัวดำเนินการดาว
⋈	การเชื่อมตามธรรมชาติ, ตัวดำเนินการไบนารี, หูกระต่าย
⋒	คณิตศาสตร์, ตัวดำเนินการเซต, อินเตอร์เซกชัน, อินเตอร์เซกชันคู่
⋘	คณิตศาสตร์, น้อยกว่ามากมาก, ไม่เท่ากัน
⋙	คณิตศาสตร์, มากกว่ามากมาก, ไม่เท่ากัน
⋮	คณิตศาสตร์, จุดไข่ปลา, จุดไข่ปลาแนวตั้ง
⋯	จุดไข่ปลา, จุดไข่ปลาแนวนอนเส้นกลาง
⋰	คณิตศาสตร์, จุดไข่ปลา, จุดไข่ปลาทแยงขวาขึ้น
⋱	คณิตศาสตร์, จุดไข่ปลา, จุดไข่ปลาทแยงขวาลง
■	สี่เหลี่ยมจัตุรัสทึบ
□	สี่เหลี่ยมจัตุรัสกลวง
▢	สี่เหลี่ยมจัตุรัสกลวงมุมมน
▣	สี่เหลี่ยมจัตุรัสกลวงที่มีสี่เหลี่ยมจัตุรัสทึบ
▤	สี่เหลี่ยมจัตุรัสเติมเส้นแนวนอน
▥	สี่เหลี่ยมจัตุรัสเติมเส้นแนวตั้ง
▦	สี่เหลี่ยมจัตุรัสเติมขีดไขว้ตั้งฉาก
▧	สี่เหลี่ยมจัตุรัสเติมเส้นจากซ้ายบนไปขวาล่าง
▨	สี่เหลี่ยมจัตุรัสเติมเส้นจากขวาบนไปซ้ายล่าง
▩	สี่เหลี่ยมจัตุรัสเติมขีดไขว้ทแยง
▬	สี่เหลี่ยมผืนผ้าทึบ
▭	สี่เหลี่ยมผืนผ้ากลวง
▮	สี่เหลี่ยมผืนผ้าแนวตั้งทึบ
▰	สี่เหลี่ยมด้านขนานทึบ
▲	ขึ้น, ทึบ, ลูกศร, สามเหลี่ยม, สามเหลี่ยมทึบหัวชี้ขึ้น
△	สามเหลี่ยมชี้ขึ้นกลวง
▴	สามเหลี่ยมเล็กชี้ขึ้นทึบ
▵	สามเหลี่ยมเล็กชี้ขึ้นกลวง
▷	สามเหลี่ยมชี้ขวากลวง
▸	สามเหลี่ยมเล็กชี้ขวาทึบ
▹	สามเหลี่ยมเล็กชี้ขวากลวง
►	ตัวชี้ขวาทึบ
▻	ตัวชี้ขวากลวง
