‾	överstreck
🥳	ansikte, fest, festande ansikte, födelsedag, hatt, kalas, partyhatt, tuta
🥸	anonym, ansikte, förklädnad, glasögon, inkognito, mask, maskerat ansikte, näsa
😎	ansikte, chillar, cool, koppla av, leende, leende ansikte med solglasögon, solglasögon
🤓	ansikte, expert, glad, glasögon, intelligent, nörd, nördansikte, smart
🧐	ansikte, ansikte med monokel, gammaldags, monokel, torr
😕	ansikte, förbryllad, förbryllat ansikte, inte, ledsen, vad, vet
🫤	ansikte, ansikte med diagonal mun, besviken, diagonal, förvirrad, mun, osäker, skeptisk, tveksam
😟	ansikte, bekymrad, bekymrat ansikte, ledsen, nervös, orolig, rädd
🙁	ansikte, ansikte med lite sur mun, besviken, mun, sur
☹️	ansikte, ansikte med sur mun, besviken, mun, sur
😮	ansikte, chockad, förvånad, förvånat ansikte, gapar, mun, omg, otroligt, öppen
😯	ansikte, gapar, hyssjad, hyssjat ansikte, stum, överraskad
😲	ansikte, chockad, chockat ansikte, förvånad, inte, otroligt, sant
😳	ansikte, generad, omtumlad, pinsamt, rodnande ansikte, rodnar, skäms
🥺	ansikte, bönfallande, bönfallande ansikte, hundögon, ledsen, nåd, snälla, tigga, varför
🥹	ansikte, ansikte som håller tillbaka tårarna, glädjetårar, gråter, känslosam, ledsen, stolt, tårar, tårfyllda, ögon
😦	ansikte, bister, mun, oförstående, ogillande, ogillande ansikte med öppen mun, rädd, vad, öppen
😧	ansikte, lider, olycklig, plågat, plågat ansikte, rädd, åh nej, ångest
😨	ansikte, rädd, skräckinjagat, skrämd, skrämt ansikte
😰	ansikte, blått, kallsvettig, orolig, oroligt svettigt ansikte, panik, rädd, svettig
😥	ansikte, besviken, besviket men lättat ansikte, lättad, nära, ögat
😢	ansikte, gråtande ansikte, gråter, ledsen, saknar, sorgligt, tårar
😭	ansikte, bölar, gråter, ledsen, olycklig, rinner, storgråtande, storgråtande ansikte, tårar
😱	ansikte, ansikte som skriker av fasa, fasa, katastrof, livrädd, rädd, skriet, skriker
😖	ansikte, besviken, frustrerad, förvirrad, förvirrat ansikte, irriterad
