‾	pārsvītrojums, vinkuls, virssvītrojums
🤧	gripa, saaukstējies, seja, slims, šķauda
🥵	drudzis, drudzī, karstuma dūriens, nosvīdis, piesārtusi seja, sarkanu seju, saules dūriens, seja
🥶	apsaldējies, auksts, lāstekas, nosalis, nosalusi seja, nozilējis, seja, stindzinošs
🥴	apreibis, iedzēris, noreibis, noreibusi seja, piedzēries, šķību muti, šķībām acīm
😵	apreibis, apreibusi seja, beigts, nelabums, reibonis, seja
😵‍💫	apreibis, hipnozē, nepatikšanas, oho, seja ar spirālēm acu vietā, spirāles
🤯	eksplodējoša galva, nevar būt!, seja, smaidiņš, šokēts
🤠	cepure, cilvēks, kovbojs, persona, seja, seja ar kovboja cepuri, seja kovboja cepurē
🥳	apsveikums, ballīte, ballīšu seja, cepure, prieks, seja, svinēt, svinības, taurīte
🥸	brilles, deguns, inkognito, maska, paslēpta seja, seja, spiegs, ūsas
😎	saulesbrilles, seja, smaidoša seja ar saulesbrillēm, smaids, stilīgs
🤓	briļļainais, cilvēks, gudrītis, nūģis, seja, smaidiņš
🧐	garlaicīgs, seja, seja ar monokli, smaidiņš, vecmodīga
😕	apjucis, apjukums, apjukusi seja, neskaidrība, nezinu, seja
🫤	meh, nezinu, seja ar diagonālu muti, skeptiski, skeptisks, vienalga, vīlies
😟	nervozs, noraizējies, noraizējusies seja, rūpes, seja, stress
🙁	bēdas, bēdīgs, nedaudz bēdīga seja, seja, smaidiņš
☹️	bēdas, bēdīga seja, bēdīgs, seja
😮	atvērts, mute, pārsteigt, seja, seja ar atvērtu muti, šokēts
😯	apklusināt, pārsteigt, pārsteigta seja, seja
😲	oho, pārsteigts, seja, šokēta seja, šokēts
😳	apmulsis, kauns, nosarkt, nosarkusi seja, seja, vainīgs
🥺	kucēna acis, lūdzoša seja, lūgšanās, žēlastība
🥹	dusmīgs, lepns, lūdzošs, pretoties, prieka asaras, raudāt, seja ar aizturētām asarām, skumji
😦	atvērts, bailes, bēdas, bēdīga seja ar atvērtu muti, mulsums, mute, pārsteigums, seja
😧	aizmirst, pārsteigt, seja, stress, sāpes, sāpināt, sāpjpilna seja
😨	bailes, bailīgs, nobijies, nobijusies seja, noraizējies, seja
😰	atvērts, auksts, mute, nervozs, seja, seja ar atvērtu muti un aukstiem sviedriem, sviedri, zils
😥	atvieglojums, seja, sviedri, vilties, vīlies, vīlusies un atvieglota seja
😢	asaras, bēdīgs, raudoša seja, raudāt, seja, skumjas
😭	aizgūtnēm raudoša seja, asaras, bēdas, raudāt, seja, skumjš
😱	Munks, bailes, bailēs kliedzoša seja, kliedziens, nobijies, seja
