‾	pārsvītrojums, vinkuls, virssvītrojums
👩🏿‍🦲	bez matiem, blondīne, cilvēks, dāma, kundze, seja, sieviete, sieviete: tumšs ādas tonis un bez matiem, tumšs ādas tonis
🧓	bezdzimuma, cilvēks, dzimumneitrāls, pieaugušais, vecs, vecāks pieaugušais
🧓🏻	bezdzimuma, cilvēks, dzimumneitrāls, gaišs ādas tonis, pieaugušais, vecs, vecāks pieaugušais, vecāks pieaugušais: gaišs ādas tonis
🧓🏼	bezdzimuma, cilvēks, dzimumneitrāls, pieaugušais, vecs, vecāks pieaugušais, vecāks pieaugušais: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🧓🏽	bezdzimuma, cilvēks, dzimumneitrāls, pieaugušais, vecs, vecāks pieaugušais, vecāks pieaugušais: vidējs ādas tonis, vidējs ādas tonis
🧓🏾	bezdzimuma, cilvēks, dzimumneitrāls, pieaugušais, vecs, vecāks pieaugušais, vecāks pieaugušais: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🧓🏿	bezdzimuma, cilvēks, dzimumneitrāls, pieaugušais, tumšs ādas tonis, vecs, vecāks pieaugušais, vecāks pieaugušais: tumšs ādas tonis
👴	gudrs, seja, vecs, vecs vīrietis, vectēvs, vīrietis
👴🏻	gaišs ādas tonis, gudrs, seja, vecs, vecs vīrietis: gaišs ādas tonis, vectēvs, vīrietis
👴🏼	gudrs, seja, vecs, vecs vīrietis: vidēji gaišs ādas tonis, vectēvs, vidēji gaišs ādas tonis, vīrietis
👴🏽	gudrs, seja, vecs, vecs vīrietis: vidējs ādas tonis, vectēvs, vidējs ādas tonis, vīrietis
👴🏾	gudrs, seja, vecs, vecs vīrietis: vidēji tumšs ādas tonis, vectēvs, vidēji tumšs ādas tonis, vīrietis
👴🏿	gudrs, seja, tumšs ādas tonis, vecs, vecs vīrietis: tumšs ādas tonis, vectēvs, vīrietis
👵	cilvēks, seja, sieviete, veca sieviete, vecmamma, vecs
👵🏻	cilvēks, gaišs ādas tonis, seja, sieviete, veca sieviete, veca sieviete: gaišs ādas tonis, vecmamma, vecs
👵🏼	cilvēks, seja, sieviete, veca sieviete, veca sieviete: vidēji gaišs ādas tonis, vecmamma, vecs, vidēji gaišs ādas tonis
👵🏽	cilvēks, seja, sieviete, veca sieviete, veca sieviete: vidējs ādas tonis, vecmamma, vecs, vidējs ādas tonis
👵🏾	cilvēks, seja, sieviete, veca sieviete, veca sieviete: vidēji tumšs ādas tonis, vecmamma, vecs, vidēji tumšs ādas tonis
👵🏿	cilvēks, seja, sieviete, tumšs ādas tonis, veca sieviete, veca sieviete: tumšs ādas tonis, vecmamma, vecs
🙍	aizkaitinājums, bēdīgs, iztraucēts, norūpējies cilvēks, vilšanās, žests
🙍🏻	aizkaitinājums, bēdīgs, gaišs ādas tonis, iztraucēts, norūpējies cilvēks, norūpējies cilvēks: gaišs ādas tonis, vilšanās, žests
🙍🏼	aizkaitinājums, bēdīgs, iztraucēts, norūpējies cilvēks, norūpējies cilvēks: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vilšanās, žests
🙍🏽	aizkaitinājums, bēdīgs, iztraucēts, norūpējies cilvēks, norūpējies cilvēks: vidējs ādas tonis, vidējs ādas tonis, vilšanās, žests
🙍🏾	aizkaitinājums, bēdīgs, iztraucēts, norūpējies cilvēks, norūpējies cilvēks: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vilšanās, žests
🙍🏿	aizkaitinājums, bēdīgs, iztraucēts, norūpējies cilvēks, norūpējies cilvēks: tumšs ādas tonis, tumšs ādas tonis, vilšanās, žests
🙍‍♂	dusmoties, norūpējies, norūpējies vīrietis, vīrietis, žests
🙍🏻‍♂	dusmoties, gaišs ādas tonis, norūpējies, norūpējies vīrietis: gaišs ādas tonis, vīrietis, žests
🙍🏼‍♂	dusmoties, norūpējies, norūpējies vīrietis: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis, žests
🙍🏽‍♂	dusmoties, norūpējies, norūpējies vīrietis: vidējs ādas tonis, vidējs ādas tonis, vīrietis, žests
🙍🏾‍♂	dusmoties, norūpējies, norūpējies vīrietis: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, žests
🙍🏿‍♂	dusmoties, norūpējies, norūpējies vīrietis: tumšs ādas tonis, tumšs ādas tonis, vīrietis, žests
🙍‍♀	dusmoties, norūpējusies sieviete, sieviete, žests
🙍🏻‍♀	dusmoties, gaišs ādas tonis, norūpējusies sieviete, norūpējusies sieviete: gaišs ādas tonis, sieviete, žests
🙍🏼‍♀	dusmoties, norūpējusies sieviete, norūpējusies sieviete: vidēji gaišs ādas tonis, sieviete, vidēji gaišs ādas tonis, žests
🙍🏽‍♀	dusmoties, norūpējusies sieviete, norūpējusies sieviete: vidējs ādas tonis, sieviete, vidējs ādas tonis, žests
🙍🏾‍♀	dusmoties, norūpējusies sieviete, norūpējusies sieviete: vidēji tumšs ādas tonis, sieviete, vidēji tumšs ādas tonis, žests
🙍🏿‍♀	dusmoties, norūpējusies sieviete, norūpējusies sieviete: tumšs ādas tonis, sieviete, tumšs ādas tonis, žests
🙎	cilvēks, grimase, neapmierināts, sabozies, sabozies cilvēks, sieviete, uzmesta lūpa, vilšanās, žests
🙎🏻	cilvēks, gaišs ādas tonis, grimase, neapmierināts, sabozies, sabozies cilvēks: gaišs ādas tonis, sieviete, uzmesta lūpa, vilšanās, žests
🙎🏼	cilvēks, grimase, neapmierināts, sabozies, sabozies cilvēks: vidēji gaišs ādas tonis, sieviete, uzmesta lūpa, vidēji gaišs ādas tonis, vilšanās, žests
🙎🏽	cilvēks, grimase, neapmierināts, sabozies, sabozies cilvēks: vidējs ādas tonis, sieviete, uzmesta lūpa, vidējs ādas tonis, vilšanās, žests
🙎🏾	cilvēks, grimase, neapmierināts, sabozies, sabozies cilvēks: vidēji tumšs ādas tonis, sieviete, uzmesta lūpa, vidēji tumšs ādas tonis, vilšanās, žests
🙎🏿	cilvēks, grimase, neapmierināts, sabozies, sabozies cilvēks: tumšs ādas tonis, sieviete, tumšs ādas tonis, uzmesta lūpa, vilšanās, žests
🙎‍♂	bēdāties, cilvēks, emocijas, persona, sabozies vīrietis, vīrietis, žests
🙎🏻‍♂	bēdāties, cilvēks, emocijas, gaišs ādas tonis, persona, sabozies vīrietis, sabozies vīrietis: gaišs ādas tonis, vīrietis, žests
🙎🏼‍♂	bēdāties, cilvēks, emocijas, persona, sabozies vīrietis, sabozies vīrietis: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis, žests
🙎🏽‍♂	bēdāties, cilvēks, emocijas, persona, sabozies vīrietis, sabozies vīrietis: vidējs ādas tonis, vidējs ādas tonis, vīrietis, žests
🙎🏾‍♂	bēdāties, cilvēks, emocijas, persona, sabozies vīrietis, sabozies vīrietis: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, žests
🙎🏿‍♂	bēdāties, cilvēks, emocijas, persona, sabozies vīrietis, sabozies vīrietis: tumšs ādas tonis, tumšs ādas tonis, vīrietis, žests
🙎‍♀	bēdāties, sabozusies sieviete, sieviete, žests
🙎🏻‍♀	bēdāties, gaišs ādas tonis, sabozusies sieviete, sabozusies sieviete: gaišs ādas tonis, sieviete, žests
🙎🏼‍♀	bēdāties, sabozusies sieviete, sabozusies sieviete: vidēji gaišs ādas tonis, sieviete, vidēji gaišs ādas tonis, žests
🙎🏽‍♀	bēdāties, sabozusies sieviete, sabozusies sieviete: vidējs ādas tonis, sieviete, vidējs ādas tonis, žests
🙎🏾‍♀	bēdāties, sabozusies sieviete, sabozusies sieviete: vidēji tumšs ādas tonis, sieviete, vidēji tumšs ādas tonis, žests
🙎🏿‍♀	bēdāties, sabozusies sieviete, sabozusies sieviete: tumšs ādas tonis, sieviete, tumšs ādas tonis, žests
🙅	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar noraidījuma žestu, nedrīkst, nē, roka, žests
🙅🏻	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: gaišs ādas tonis, cilvēks ar noraidījuma žestu, gaišs ādas tonis, nedrīkst, nē, roka, žests
🙅🏼	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: vidēji gaišs ādas tonis, cilvēks ar noraidījuma žestu, nedrīkst, nē, roka, vidēji gaišs ādas tonis, žests
🙅🏽	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: vidējs ādas tonis, cilvēks ar noraidījuma žestu, nedrīkst, nē, roka, vidējs ādas tonis, žests
🙅🏾	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: vidēji tumšs ādas tonis, cilvēks ar noraidījuma žestu, nedrīkst, nē, roka, vidēji tumšs ādas tonis, žests
🙅🏿	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: tumšs ādas tonis, cilvēks ar noraidījuma žestu, nedrīkst, nē, roka, tumšs ādas tonis, žests
🙅‍♂	nepiekrišana, noraidījums, pret, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar noraidījuma žestu, žests
🙅🏻‍♂	gaišs ādas tonis, nepiekrišana, noraidījums, pret, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: gaišs ādas tonis, vīrietis ar noraidījuma žestu, žests
🙅🏼‍♂	nepiekrišana, noraidījums, pret, vidēji gaišs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidēji gaišs ādas tonis, vīrietis ar noraidījuma žestu, žests
🙅🏽‍♂	nepiekrišana, noraidījums, pret, vidējs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidējs ādas tonis, vīrietis ar noraidījuma žestu, žests
🙅🏾‍♂	nepiekrišana, noraidījums, pret, vidēji tumšs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidēji tumšs ādas tonis, vīrietis ar noraidījuma žestu, žests
🙅🏿‍♂	nepiekrišana, noraidījums, pret, tumšs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: tumšs ādas tonis, vīrietis ar noraidījuma žestu, žests
🙅‍♀	aizliegts, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, žests
🙅🏻‍♀	aizliegts, gaišs ādas tonis, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: gaišs ādas tonis, žests
🙅🏼‍♀	aizliegts, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙅🏽‍♀	aizliegts, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidējs ādas tonis, vidējs ādas tonis, žests
🙅🏾‍♀	aizliegts, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙅🏿‍♀	aizliegts, nedrīkst, roka, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: tumšs ādas tonis, tumšs ādas tonis, žests
🙆	cilvēks, cilvēks ar apstiprinājuma žestu, labi, ok, roka, vingrošana, žests
🙆🏻	cilvēks, cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: gaišs ādas tonis, gaišs ādas tonis, labi, ok, roka, vingrošana, žests
🙆🏼	cilvēks, cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidēji gaišs ādas tonis, labi, ok, roka, vidēji gaišs ādas tonis, vingrošana, žests
🙆🏽	cilvēks, cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidējs ādas tonis, labi, ok, roka, vidējs ādas tonis, vingrošana, žests
🙆🏾	cilvēks, cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidēji tumšs ādas tonis, labi, ok, roka, vidēji tumšs ādas tonis, vingrošana, žests
🙆🏿	cilvēks, cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: tumšs ādas tonis, labi, ok, roka, tumšs ādas tonis, vingrošana, žests
🙆‍♂	par, piekrišana, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, žests
🙆🏻‍♂	gaišs ādas tonis, par, piekrišana, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: gaišs ādas tonis, žests
🙆🏼‍♂	par, piekrišana, vidēji gaišs ādas tonis, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidēji gaišs ādas tonis, žests
🙆🏽‍♂	par, piekrišana, vidējs ādas tonis, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidējs ādas tonis, žests
🙆🏾‍♂	par, piekrišana, vidēji tumšs ādas tonis, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidēji tumšs ādas tonis, žests
🙆🏿‍♂	par, piekrišana, tumšs ādas tonis, vingrot, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: tumšs ādas tonis, žests
🙆‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, žests
🙆🏻‍♀	gaišs ādas tonis, par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: gaišs ādas tonis, žests
🙆🏼‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙆🏽‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidējs ādas tonis, vidējs ādas tonis, žests
🙆🏾‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙆🏿‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: tumšs ādas tonis, tumšs ādas tonis, žests
💁	baumas, cilvēks, informācija, palīdzība, pastiept, persona ar pastieptu roku, roka, sarkasms, vienalga, žests
💁🏻	baumas, cilvēks, gaišs ādas tonis, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: gaišs ādas tonis, roka, sarkasms, vienalga, žests
💁🏼	baumas, cilvēks, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidēji gaišs ādas tonis, roka, sarkasms, vidēji gaišs ādas tonis, vienalga, žests
💁🏽	baumas, cilvēks, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidējs ādas tonis, roka, sarkasms, vidējs ādas tonis, vienalga, žests
💁🏾	baumas, cilvēks, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidēji tumšs ādas tonis, roka, sarkasms, vidēji tumšs ādas tonis, vienalga, žests
💁🏿	baumas, cilvēks, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: tumšs ādas tonis, roka, sarkasms, tumšs ādas tonis, vienalga, žests
💁‍♂	bezkaunība, pastiepta roka, sarkasms, vienalga, vīrietis, vīrietis ar pastieptu roku, žests
💁🏻‍♂	bezkaunība, gaišs ādas tonis, pastiepta roka, sarkasms, vienalga, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: gaišs ādas tonis, žests
💁🏼‍♂	bezkaunība, pastiepta roka, sarkasms, vidēji gaišs ādas tonis, vienalga, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidēji gaišs ādas tonis, žests
💁🏽‍♂	bezkaunība, pastiepta roka, sarkasms, vidējs ādas tonis, vienalga, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidējs ādas tonis, žests
💁🏾‍♂	bezkaunība, pastiepta roka, sarkasms, vidēji tumšs ādas tonis, vienalga, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidēji tumšs ādas tonis, žests
💁🏿‍♂	bezkaunība, pastiepta roka, sarkasms, tumšs ādas tonis, vienalga, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: tumšs ādas tonis, žests
💁‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, žests
💁🏻‍♀	bezkaunība, gaišs ādas tonis, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: gaišs ādas tonis, žests
💁🏼‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
💁🏽‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidējs ādas tonis, vidējs ādas tonis, žests
💁🏾‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
💁🏿‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: tumšs ādas tonis, tumšs ādas tonis, žests
🙋	cilvēks, cilvēks ar paceltu roku, laimīgs, pacelts, roka, zinu, žests
🙋🏻	cilvēks, cilvēks ar paceltu roku, cilvēks ar paceltu roku: gaišs ādas tonis, gaišs ādas tonis, laimīgs, pacelts, roka, zinu, žests
🙋🏼	cilvēks, cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidēji gaišs ādas tonis, laimīgs, pacelts, roka, vidēji gaišs ādas tonis, zinu, žests
🙋🏽	cilvēks, cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidējs ādas tonis, laimīgs, pacelts, roka, vidējs ādas tonis, zinu, žests
🙋🏾	cilvēks, cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidēji tumšs ādas tonis, laimīgs, pacelts, roka, vidēji tumšs ādas tonis, zinu, žests
🙋🏿	cilvēks, cilvēks ar paceltu roku, cilvēks ar paceltu roku: tumšs ādas tonis, laimīgs, pacelts, roka, tumšs ādas tonis, zinu, žests
🙋‍♂	pacelta roka, vīrietis, vīrietis ar paceltu roku, žests
🙋🏻‍♂	gaišs ādas tonis, pacelta roka, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: gaišs ādas tonis, žests
🙋🏼‍♂	pacelta roka, vidēji gaišs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidēji gaišs ādas tonis, žests
🙋🏽‍♂	pacelta roka, vidējs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidējs ādas tonis, žests
🙋🏾‍♂	pacelta roka, vidēji tumšs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidēji tumšs ādas tonis, žests
🙋🏿‍♂	pacelta roka, tumšs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: tumšs ādas tonis, žests
🙋‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, žests
🙋🏻‍♀	gaišs ādas tonis, pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: gaišs ādas tonis, žests
🙋🏼‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙋🏽‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidējs ādas tonis, vidējs ādas tonis, žests
🙋🏾‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙋🏿‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: tumšs ādas tonis, tumšs ādas tonis, žests
🧏	auss, cilvēks, dzirde, kurls, kurlums, nedzirdīga persona, nedzirdīgs, persona, pieejamība
🧏🏻	auss, cilvēks, dzirde, gaišs ādas tonis, kurls, kurlums, nedzirdīga persona, nedzirdīga persona: gaišs ādas tonis, nedzirdīgs, persona, pieejamība
