‾	надчеркивание
🤕	бинт, болеть, больной, гипс, перевязка, повязка, пострадал, с перевязанной головой, ударился
🤢	блевать, болезнь, выворачивать, вырвет, зеленый, морская, наизнанку, отравиться, плохо, тошнит
🤮	блевать, болезнь, вырвало, гадость, морская, отравиться, плохо, рвота, тошнит, фу
🤧	апчхи, лицо, насморк, пчхи, чихает
🥵	болеть, жар, лихорадка, плохо, пот, солнечный, температура, удар, умираю, язык
🥶	болею, дубак, зубы, мерзнет, мерзнуть, мороз, озноб, синий, снег, стучат, холодно
🥴	глазах, голова, кружится, мутит, окосел, плохо, плывет, пьяный, чувствует головокружение
😵	болею, глаза, голова, головокружение, крестики, кружится, мертвый, плохо, смерть, умереть, устал
😵‍💫	гипноз, глаза, голова, замешательство, кружится, кучу, омг, ошеломление, сложно, тупик, шок
🤯	быть, взрыв, взрыв мозга, голова, может, мозга, не, омг, шок
🤠	в ковбойской шляпе, веселый, вестерн, ковбой, радость, техас, улыбка, шапка, шляпа
🥳	вечеринка, день, днюха, колпак, конфетти, на вечеринке, отмечать, поздравляю, праздник, рождения
🥸	внешность, инкогнито, маскировка, нос, очки, профессор, усы, ученый, шпион
😎	защита, клево, круто, лицо, лицо в темных очках, очки, свет, солнечные, солнце, солнцезащитные, улыбка
🤓	ботан, заучка, интеллигент, очкарик, радость, улыбка, умник, эврика
🧐	дедукция, детектив, доказательства, изучение, монокль, расследование, с моноклем, сомнение, ученый
😕	в замешательстве, замешательство, недовольный, непонятно, огорчен, плохо, расстроен, сбит, сомнение, толку
🫤	досадно, думаю, знаю, не, непонятно, огорчен, разочарован, с перекошенным ртом, скептик, уверен
😟	беспокоится, беспокойство, лицо, расстройство, тревога, тревожность
🙁	грустный, досада, недовольный, немного грустит, огорчен, печаль, плохо, разочарован, хмурый
☹️	грустит, грустный, досада, недовольный, несчастный, очень, печаль, плохо, расстроен
😮	вау, верю, изумление, невероятно, ого, омг, ошеломление, удивление, ужас, шок
😯	вау, верю, неприятный, неприятный сюрприз, ого, омг, сюрприз, удивление
😲	в шоке, вау, глаза, изумление, лоб, ого, омг, ох, потрясение, удивление, шок
😳	извини, краснеет, обидел, прости, румянец, смущение, стесняется, стыдно, хотел
🥺	большие, глаза, грустно, почему, просить, сжалься, слезы, умоляет, умолять, щенячьи
🥹	благодарность, восхищение, гордость, еле сдерживает слезы, плакать, радость, слезы, счастья, умиление
