‾	надчеркивание
🔗	гиперссылка, звенья, связывание, связь, ссылка, цепочка, цепь
⛓‍💥	оковы, разорванная цепь, разорвать, разрыв, свобода, цепь
⛓️	звено, звенья, цепи, цепочка, цепь
🪝	захват, крюк, крючок, подвес, уловка
🧰	инструменты, комплект инструментов, коробка, красный ящик, мастер, механик, набор инструментов, ремонт, слесарь, ящик для инструментов
🧲	магнетический, магнит, магнит-подкова, отрицательный, подкова, положительный, притяжение
🪜	залезать, лезть, лестница, перекладина, стремянка, ступень
🪏	ковш, копать, лопата, совок, яма
⚗️	аппарат, куб, перегонный, перегонный сосуд, сосуд, химия
🧪	лаборатория, наука, опыты, пробирка, химик, химия, эксперимент, эксперименты
🧫	анализы, бактерии, биолог, биология, лаборатория, чашка Петри, эксперимент
🧬	ДНК, биология, генетика, гены, жизнь, молекула, эволюция
🔬	биология, изучать, инструмент, исследовать, клетки, лупа, микробы, микроскоп, прибор, увеличение
🔭	астрономия, звезды, инструмент, линза, лупа, планетарий, планеты, прибор, телескоп, увеличительное стекло
📡	антенна, спутник, спутниковая, спутниковая антенна
💉	инъекция, кровь, лечение, медицина, препарат, прививка, укол, шприц
🩸	донор, капля, капля крови, красный, кровить, кровоточить, кровь, медицина, менструация
💊	барбитураты, капсула, лекарство, лечиться, медикаменты, пилюля, препарат, рецепт, таблетка
🩹	заклеить, лейкопластырь, лечить, медицина, пластырь, порез, рана
🩼	инвалид, инвалидность, костыли, костыль, опора, перелом, повреждение, помощь, предмет, травма, трость
🩺	врач, доктор, инструмент, медицина, сердце, слушать, стетоскоп
🩻	врач, кости, медицина, предмет, просветить, рентген, скелет, снимок
🚪	вход, входная, выход, двери, дверная ручка, дверь, закрытая, проем
🛗	грузоподъемник, лифт, подъемник, специальные возможности
🪞	зеркало, краситься, макияж, отражатель, отражение
🪟	вид, окно, окошко, прозрачный, рама, свежий воздух, стекло
🛏️	гостиница, дом, застеленная постель, кровать, отель, постель, пустая, спальня, спать
🛋️	вечер, диван, диван и торшер, лампа, лень, отдых дома, торшер, уют
🪑	мебель, сидение, сидеть, сидя, стул, стулья
🚽	бачок, смывать, туалет, унитаз
🪠	вантуз, засор, прочистка, сантехник, слив, сортир, туалет
🚿	вода, душ, мыться, принимать душ, струя воды, чистота
🛁	ванна, ванная, вода, купаться, мыться, принимать ванную, чистота
🪤	заманить, западня, капкан, ловушка, мышеловка, приманка, сыр
🪒	бритва, бритье, бриться, лезвие, лицо, опасная, острый
🧴	бальзам, бутылка лосьона, гель для душа, кондиционер, крем, лосьон, увлажнение, флакон, шампунь
🧷	английская булавка, булавка, приколоть, пристегнуть
🧹	ведьма, веник, метла, подметать, уборка
🧺	грибы, корзина, корзина с бельем, пикник, собирать, стирка, ягоды
🧻	бумага, бумажное полотенце, бумажные полотенца, рулон, рулон бумаги, салфетка, туалетная бумага
🪣	бадья, ведерко, ведро, кадка
🧼	ванна, душ, купание, кусок мыла, мало, мыло, мыльная пена, мыть, пена, пузыри
🫧	вода, мыло, мыльные пузыри, мыть, предмет, пузыри, пузырь, чистый
🪥	ванная, гигиена, зубная щетка, зубы, умываться, чистить, чистый, щетка
🧽	ванна, впитывать, губка, мочалка, мыло, мыть, мытье посуды, пена, посуда, спонж, чистить
🧯	красный, огнетушитель, огонь, пожар, тушение пожара, тушить
🛒	магазин, покупки, тележка, тележка для покупок
🚬	дым, курение, курить, курю, можно, окурок, пепел, разрешено, сигарета
⚰️	гибель, гроб, погребение, похороны, смерть
🪦	гробница, кладбище, могила, могильный камень, надгробие
⚱️	останки, пепел, похороны, прах, смерть, урна, урна с прахом
🧿	амулет, назар бонджук, око, сглаз, синий, талисман
🪬	амулет, защита, защитить, кисть, ладонь, предмет, рука, рука Марии, рука Мириам, рука Фатимы, хамса
🗿	голова, истукан, лицо, остров, пасхи, статуя
🪧	высказаться, демонстрация, заявление, знак, пикет, плакат, протест
🪪	водительские права, документ, паспорт, права, удостоверение, удостоверение личности
🏧	банкомат, выдача, деньги, значок банкомата, наличные, терминал
🚮	бросайте мусор в урну, мусор, мусорить, мусорка, урна
🚰	вода, кран, пить, питьевая, питьевая вода
♿️	возможности, доступ, значок, значок «для инвалидов», инвалид, инвалидная, коляска
🚹️	кабинки, мужской, мужской туалет, мужчины, туалет, уборная
🚺️	женский туалет, женщины, кабинки, туалет, уборная
🚻	WC, туалет, уборная
🚼️	дети, младенцы, пеленальная, пеленки, стол
🚾	WC, общественный, туалет, уборная, унитаз
🛂	контроль, паспортный, паспортный контроль, печать, пограничник, проверка
🛃	багаж, граница, проверка, таможенник, таможня
🛄	багаж, лента, получение, получение багажа, прибытие, чемодан
🛅	багаж, забытый багаж, замок, кабинка, камера, ключ, хранения, чемодан
⚠️	восклицательный, желтый, знак, значок предупреждения, оповещение, осторожно, предупреждение, треугольный
🚸	движение, дети, дорога, знак "дети", знак «дети», переход, пешеход, пешеходы
⛔️	вход, въезд, въезд запрещен, запрещен, запрещено, кирпич, красный, круг, нет, стоп
🚫	вход, входа, запрещено, зачеркнутый, красный, круг, нельзя, нет
🚳	велосипед, въезд, въезда, запрещено, нельзя, нет, перечеркнутый, перечеркнутый велосипед
🚭️	запрет, запрещено, красный, круг, курение, курение запрещено, курить, не, нельзя, черный
🚯	запрещено, красный, мусор, мусорить, не мусорьте, нельзя, перечеркнутый, черный
🚱	вода, вредно, запрещено, кран, круг, не, нельзя, непитьевая, непитьевая вода, опасно, перечеркнутый, пить
🚷	входить, запрещен, круг, не, опасно, переход, переход запрещен, пешеход, пешеходный
📵	запрещен, запрещено, запрещены, звонить, звонки, мобильные телефоны запрещены, мобильный, перечеркнутый, смартфон, сотовый, телефон
🔞	18 лет, для людей старше восемнадцати лет, запрет, нельзя, несовершеннолетним запрещено
☢️	знак, опасность, радиация, радиоактивность, символ, угроза
☣️	биологическая, биологическая угроза, знак, опасность, угроза, химическая
⬆️	вверх, направление, север, стрелка, стрелка вверх
↗️	вправо-вверх, направление, северо-восток, стрелка, стрелка вправо-вверх
➡️	восток, вправо, направление, стрелка, стрелка вправо
↘️	вправо-вниз, направление, стрелка, стрелка вправо-вниз, юго-восток
⬇️	вниз, направление, стрелка, стрелка вниз, юг
↙️	влево-вниз, направление, стрелка, стрелка влево-вниз, юго-запад
⬅️	влево, запад, направление, стрелка, стрелка влево
↖️	влево-вверх, направление, северо-запад, стрелка, стрелка влево-вверх
↕️	вверх, вверх-вниз, вниз, двойная, стрелка, стрелка вверх-вниз
↔️	влево, влево-вправо, вправо, двойная, стрелка, стрелка влево-вправо
↮	перечеркнутая стрелка вправо-влево
↩️	влево, вправо, изгиб, изогнутая, поворот, стрелка, стрелка вправо с поворотом влево
↪️	влево, вправо, изгиб, изогнутая, поворот, стрелка, стрелка влево с поворотом вправо
⤴️	вверх, вправо, изгиб, изогнутая, поворот, стрелка, стрелка вправо с поворотом вверх
⤵️	вниз, вправо, изгиб, изогнутая, поворот, стрелка, стрелка вправо с поворотом вниз
🔃	вертикальные, зависание, перезагрузка, по, по часовой стрелке, стрелке, стрелки, часовой
🔄	горизонтальные, кнопка, обновить, обновление, против, против часовой стрелки, стрелки, часовой
🔙	вернуться, назад, стрелка, стрелка «назад»
🔚	конец, стрелка «конец», стрелка конец
🔛	активно, включено, стрелка «активно», стрелка активно
🔜	вправо, далее, продолжение, скоро, следует, стрелка, стрелка «скоро»
🔝	вверх, верх, наверх, стрелка, стрелка «верх», топ
🛐	место, молитва, молиться, поклонение, религиозное, религия, святое, святыня
⚛️	атеизм, атеист, атом, атомный, символ, символ атома, частица
🕉️	аум, мантра, ом, религия
✡️	вера, давид, еврей, звезда, звезда Давида, иудаизм, религия, шестиконечная
☸️	буддизм, буддийский, дхарма, колесо, колесо дхармы, религия
☯️	вера, инь, инь-ян, инь-янь, религия, символ, тао, таоизм, ян, янь
✝️	крест, латинский, латинский крест, религия, христианский, христианство
☦️	вера, крест, православие, православный, православный крест, религия, христианин, христианство
☪️	Рамадан, вера, звезда, звезда и полумесяц, ислам, мечеть, мусульманин, мусульманство, полумесяц, религия, символ
☮️	значок, мир, пацифизм, пацифик, символ
🕎	менора, подсвечник, религия, свечи, ханука, ханукия
🔯	звезда, звезда Давида, шестиконечная звезда
🪯	дег, кханда, религия, сикх, сикхизм, символ, тех, фатех, хальса
♈️	баран, гороскоп, знак, знак зодиака Овен, зодиак, овен, овца
♉️	бык, гороскоп, знак, знак зодиака Телец, зодиак, теленок, телец
♊️	близнецы, гороскоп, знак, знак зодиака Близнецы, зодиак
♋️	гороскоп, знак, знак зодиака Рак, зодиак, рак
♌️	гороскоп, знак, знак зодиака Лев, зодиак, лев
♍️	гороскоп, дева, знак, знак зодиака Дева, зодиак
♎️	весы, гороскоп, знак, знак зодиака Весы, зодиак
♏️	гороскоп, знак, знак зодиака Скорпион, зодиак, скорпион
♐️	гороскоп, знак, знак зодиака Стрелец, зодиак, стрелец
♑️	гороскоп, знак, знак зодиака Козерог, зодиак, козерог
♒️	водолей, гороскоп, знак, знак зодиака Водолей, зодиак
♓️	гороскоп, знак, знак зодиака Рыбы, зодиак, рыба, рыбы
⛎️	гороскоп, змееносец, знак, знак зодиака Змееносец, зодиак
🔀	выбор, перемешивание, пересечение, скрещенные, случайно, случайный, случайный выбор, стрелки
🔁	горизонтальные, замкнутые, по, повтор, повторить, стрелке, стрелки, часовой
🔂	две стрелки, кнопка, одна песня, повтор, повтор одной песни
▶	воспроизведение, вперед, вправо, геометрия, кнопка, перемотать, перемотка, проигрывание, треугольник, фигура
⏩	вперед, вправо, два, кнопка, перемотать, перемотка, перемотка вперед, треугольника
⏭	вперед, вправо, далее, два треугольника, дорожка, кнопка, композиция, перемотать, перемотка, песня, следующая, следующий, следующий трек, трек, черта
⏯	воспроизведение, воспроизведение/пауза, воспроизвести, воспроизвещение, две черты, играть, кнопка, пауза, приостановить, треугольник
◀	влево, кнопка, назад, обратный, реверс, стрелка
⏪	влево, два треугольника, кнопка, назад, перемотать, перемотка назад, стрелка
⏮	влево, два треугольника, перемотать назад, перемотка, перемотка назад, предыдущая дорожка, предыдущая композиция, предыдущий трек
🔼	вверх, кнопка, кнопка треугольник острием вверх, пирамида, треугольник, треугольник острием вверх
⏫	вверх, два треугольника, два треугольника острием вверх, кнопка, стрелка, стрелки вверх
🔽	вниз, кнопка, треугольник, треугольник острием вниз
⏬	вниз, два треугольника, два треугольника острием вниз, кнопка, стрелка, стрелки вниз
⏸️	две черты, кнопка, кнопка паузы, остановить, пауза, стоп
⏹️	кнопка, остановить, остановка, стоп
⏺️	записать, запись, кнопка, круг, начать запись
⏏️	выброс, кнопка
🎦	видео, видеозапись, видеокамера, дубль, запись, камера, кино, кинокамера, телевидение, фильм
🔅	низкая яркость, низкий, солнышко, темно, уровень, яркость
🔆	высокая яркость, высокий, светло, уровень, яркость
📶	антенна, подключение, связь, сигнал сети, телефон, уровень сигнала
🛜	wi-fi, wifi, wlan, беспроводная сеть, вайфай, интернет, компьютер, подключение, роутер, сеть, смартфон, точка доступа, широкополосный
📳	вибрация, мобильник, мобильный, режим, режим вибрации, смартфон, телефон, телефон вибрирует
📴	выключен, выключенный телефон, выключено, мобильник, мобильный, смартфон, сотовый, телефон
♀️	венера, женский символ, женщина, символ
♂️	марс, мужской символ, мужчина, символ
⚧️	символ, трансгендер, трансгендерная, трансгендерное, трансгендерные, трансгендерный
✖️	знак, знак умножения, отмена, отмены, умножение, умножения, х
➕️	добавить, знак, знак сложения, плюс, прибавить, сложение, сложения
➖️	вычесть, вычитание, вычитания, знак, знак вычитания, минус, отнять
➗️	деление, деления, делить, знак, знак деления, разделить
🟰	жирный знак равенства, знак, математика, равенства, равенство, равно
♾️	бесконечность, знак бесконечности, навсегда, постоянно
‼️	восклицание, восклицательные, восклицательный, восклицательных, два, два восклицательных знака, знак, знака, знаки, пунктуация
⁉️	вопрос, вопросительный, восклицание, восклицательный, восклицательный и вопросительный знаки, знак, знаки, и, пунктуация
❓️	вопрос, вопроса, вопросительный, знак, красный, красный вопросительный знак, пунктуация
❔️	?, белый, белый вопросительный знак, вопрос, вопросительный, знак, пунктуация
❕️	белый, белый восклицательный знак, восклицание, восклицательный знак, восклицать, знак, пунктуация
❗️	восклицание, восклицательный знак, знак, красный, красный восклицательный знак, пунктуация
〰️	волна, волнистая, волнистая линия, знак, линия, пунктуация
💱	банк, валюта, валюты, деньги, касса, курс, обмен, обмен валюты
💲	США, валюта, деньги, доллар, жирный знак доллара
⚕️	аптека, асклепий, врачевание, жезл, лекарства, лекарство, лечение, медицина, медицинский символ, посох, посох со змеей
♻️	мусор, мусорный, отходы, переработка, переработка отходов, утилизация
⚜	геральдика, геральдическая лилия, герб, лилия, фигура, флер-де-лис
🔱	вилы, посейдон, символ, трезубец, эмблема
📛	бейдж, бейджик, значок, значок с именем, имя, огонь, предупреждение
🔰	Япония, новичок, символ, символ новичка, японский символ новичка
⭕️	большое кольцо, большой круг, кольцо, красное, красное кольцо, красный круг, круг, синий круг
✅️	белая, белая галочка, галочка, готово, знак, проверено, проверка, сделано
☑️	бюллетень, бюллетень с галочкой, выполнено, галочка, галочка в квадрате, голосование, готово, проверено, проверка, сделано
✔️	галка, галочка, готово, знак, значок, отметка, отмечено, помечено, черная галочка, черный
❌️	закрытие, значок, крестик, отмена, умножение
❎️	закрытие, квадрат, кнопка, кнопка "крестик", кнопка «крестик», крестик, умножение
➰️	значок, петелька, петля
➿️	две, двойная, двойная петля, петелька, петельки, петли, петля
〽️	вступает другой голос, голос, другой голос, знак, певцы, япония
✳️	восьмиконечная, восьмиконечная звездочка, звезда, звездочка
✴️	восьмиконечная, восьмиконечная звезда, звезда
❇️	искра, мерцание
©️	автор, авторские права, авторское, защита, значок, значок защиты авторского права, копирайт, право, символ
®️	зарегистрирован, зарегистрированный товарный знак, зарегистрировано, товарный знак
™️	ТМ, товарная марка, товарный знак, торговая марка, торговый знак
🫟	Холи, клякса, краска, пролить, пятно
#⃣	клавиши, клавиши: #
*⃣	клавиши, клавиши: *
0⃣	клавиши, клавиши: 0
1⃣	клавиши, клавиши: 1
2⃣	клавиши, клавиши: 2
3⃣	клавиши, клавиши: 3
4⃣	клавиши, клавиши: 4
5⃣	клавиши, клавиши: 5
6⃣	клавиши, клавиши: 6
7⃣	клавиши, клавиши: 7
8⃣	клавиши, клавиши: 8
9⃣	клавиши, клавиши: 9
🔟	клавиши, клавиши: 10
🔠	алфавит, ввод, ввод прописными, верхний регистр, латиница, латинские буквы, прописные, прописные символы
🔡	алфавит, буквы, ввод, ввод строчными, кнопка, латинские буквы, нижний регистр, строчные, строчные символы
🔢	ввод, ввод цифр, цифры
🔣	ввод, ввод символов, символы
🔤	алфавит, буквы, ввод, ввод латиницей, латиница, латинские, латинский, символы
🅰️	2 группа крови, II группа крови, буква А, вторая группа крови, группа крови, группа крови А, кровь
🆎	4 группа крови, IV группа крови, буквы АВ, группа крови, группа крови AB, кровь, четвертая группа крови
🅱️	3 группа крови, III группа крови, буква В, группа крови, группа крови В, кровь, третья группа крови
🆑	CL, значок «понятно», кнопка, кнопка "очистить", кнопка "стереть", кнопка «очистить», очистить, стереть, ясно
🆒	здорово, значок, значок «круто», кнопка, круто
🆓	бесплатно, значок, значок «бесплатно», кнопка
ℹ️	значок, значок информации, инфо, информации, информация, подробнее, сведения, справка, справки
🆔	значок, значок «идентификация», идентификатор, идентификация, кнопка
Ⓜ️	буква, буква "м" в кружке, буква «м» в кружке, буква в кружке, кружок, м
🆕	значок, значок "новинка", значок «новинка», новинка, новое, новый
🆖	значок, значок "не годится", значок «не годится», не годится, нехорошо, плохо
🅾️	1 группа крови, I группа крови, О, буква О, группа крови, группа крови O, кнопка с О, кровь, первая группа крови
🆗	ОК, значок, значок «ОК», окей, о’кей, хорошо
🅿️	автостоянка, машины, парковаться, парковка, припарковаться, стоянка
🆘	SOS, sos, значок SOS, помогите, помощь, сос, спасите
🆙	вверх, значок, значок "обновление", значок «обновление», обновление
🆚	значок, значок «против», кнопка, против, сравнение
🈁	здесь, значок, значок «здесь», кнопка, япония
🈂️	значок, кнопка, стоимость, услуги, цена, цена услуги, япония
🈷	значок, иероглиф, кнопка, месяц, сумма, япония
🈶	значок, иероглиф, кнопка, наличие, платно, япония
🈯	забронировано, занято, значок, кнопка, япония
🉐	выгода, значок, кнопка, сделка, удачная сделка, япония
🈹	деление, значок, значок "скидка", иероглиф, кнопка, кнопка "скидка", скидка, япония
🈚	бесплатно, значок, иероглиф, кнопка, нет в наличии, отсутствие, япония
🈲	воспрещен, вход запрещен, запрет, запрещено, значок, иероглиф, кнопка, нельзя, япония
🉑	допустимо, допустимость, значок, иероглиф, китай, кнопка, можно, приемлемо, принятие
🈸	запрос, заявка, значок, иероглиф, китай, кнопка, подача, япония
🈴	значок, иероглиф, китай, кнопка, пропускной балл, проходной балл, согласие, япония
🈳	доступно, доступность, есть места, значок, иероглиф, китай, кнопка, пусто, пустота, свободно
㊗️	значок, кнопка, поздравление, праздник, япония
㊙️	значок, кнопка, секрет, тайна, япония
🈺	значок, иероглиф, китай, кнопка, открыто, работа, работает, япония
🈵	Япония, занято, заполнено, значок, иероглиф, кнопка, мест, нет, нет мест
🔴	геометрия, красный, красный круг, круг, фигура, шар
🟠	геометрия, круг, оранжевый, оранжевый круг, фигура, шар
🟡	геометрия, желтый, желтый круг, круг, фигура, шар
🟢	геометрия, зеленый, зеленый круг, круг, фигура, шар
🔵	геометрия, голубой, голубой круг, круг, синий, фигура, шар
🟣	геометрия, круг, фигура, фиолетовый, фиолетовый круг, шар
🟤	геометрия, коричневый, коричневый круг, круг, фигура, шар
⚫️	геометрия, круг, фигура, черный, черный круг, шар
⚪️	белый, белый круг, геометрия, круг, фигура, шар
🟥	геометрия, квадрат, красный, красный квадрат, прямоугольник, фигура
🟧	геометрия, квадрат, оранжевый, оранжевый квадрат, прямоугольник, фигура
🟨	геометрия, желтая, желтый, желтый квадрат, карточка, квадрат, предупреждение, фигура
🟩	геометрия, зеленый, зеленый квадрат, квадрат, фигура
🟦	геометрия, голубой, квадрат, синий, синий квадрат, фигура
🟪	геометрия, квадрат, прямоугольник, фигура, фиолетовый, фиолетовый квадрат
🟫	геометрия, квадрат, коричневый, коричневый квадрат, прямоугольник, фигура
⬛️	большой, большой черный квадрат, геометрия, квадрат, фигура, черный
⬜️	белый, большой, большой белый квадрат, геометрия, квадрат, фигура
◼️	геометрия, квадрат, средний, фигура, черный, черный квадрат
◻️	белый, белый квадрат, геометрия, квадрат, фигура
◾️	геометрия, квадрат, небольшой, небольшой черный квадрат, фигура, черный
◽️	белый, геометрия, квадрат, небольшой белый квадрат, небольшой квадрат, фигура
▪️	геометрия, квадрат, квадратик, маленький, фигура, черный, черный квадратик
▫️	белый, белый квадратик, геометрия, квадрат, квадратик, маленький, фигура
🔶	большой, большой оранжевый ромб, геометрия, оранжевый, ромб, фигура
🔷	большой, большой голубой ромб, геометрия, голубой, ромб, синий, фигура
🔸	геометрия, маленький, небольшой оранжевый ромб, оранжевый, ромб, фигура
🔹	геометрия, голубой, небольшой голубой ромб, небольшой ромб, ромб, фигура
🔺	вверх, вершиной, геометрия, красный, пирамида, треугольник, треугольник вершиной вверх, фигура
🔻	вершиной, вниз, геометрия, красный, пирамида, треугольник, треугольник вершиной вниз, фигура
💠	алмаз, бриллиант, геометрия, драгоценный, камень, ромб, ромб с точкой, с, точкой, украшение, фигура, цветок
🔘	кнопка, круглая, круглая кнопка, серая
🔳	белая, белой, квадрат, кнопка, кнопка с белой рамкой, рамкой, с
🔲	квадрат, кнопка, кнопка с черной рамкой, рамкой, с, черная, черной
🏁	в, гонка, гонки, клетку, клетчатый, клетчатый флаг, финиш, флаг, черно-белый
🚩	красный, треугольный, треугольный флаг, флаг, флажок
🎌	Япония, два, скрещенные, скрещенные флаги, флага, флаги, японских
🏴	реет, флаг, черный, черный флаг
🏳️	белый, белый флаг, капитуляция, плен, реет, сдавайся, сдаваться, сдаюсь, флаг
🏳‍🌈	ЛГБТ, гей, гомосексульный, радуга, радужный, радужный флаг, трансгендер, флаг
🏳‍⚧	белый, розовый, светло-голубой, трансгендер, флаг, флаг трансгендерного сообщества
🏴‍☠	веселый роджер, кости, пиратский флаг, пираты, флаг, череп
🇦🇨	флаг, флаг: о-в Вознесения
🇦🇩	флаг, флаг: Андорра
🇦🇪	флаг, флаг: ОАЭ
🇦🇫	флаг, флаг: Афганистан
🇦🇬	флаг, флаг: Антигуа и Барбуда
🇦🇮	флаг, флаг: Ангилья
🇦🇱	флаг, флаг: Албания
🇦🇲	флаг, флаг: Армения
🇦🇴	флаг, флаг: Ангола
🇦🇶	флаг, флаг: Антарктида
🇦🇷	флаг, флаг: Аргентина
🇦🇸	флаг, флаг: Американское Самоа
🇦🇹	флаг, флаг: Австрия
🇦🇺	флаг, флаг: Австралия
🇦🇼	флаг, флаг: Аруба
🇦🇽	флаг, флаг: Аландские о-ва
🇦🇿	флаг, флаг: Азербайджан
🇧🇦	флаг, флаг: Босния и Герцеговина
🇧🇧	флаг, флаг: Барбадос
🇧🇩	флаг, флаг: Бангладеш
🇧🇪	флаг, флаг: Бельгия
🇧🇫	флаг, флаг: Буркина-Фасо
🇧🇬	флаг, флаг: Болгария
🇧🇭	флаг, флаг: Бахрейн
🇧🇮	флаг, флаг: Бурунди
🇧🇯	флаг, флаг: Бенин
🇧🇱	флаг, флаг: Сен-Бартелеми
🇧🇲	флаг, флаг: Бермудские о-ва
🇧🇳	флаг, флаг: Бруней
🇧🇴	флаг, флаг: Боливия
🇧🇶	флаг, флаг: Бонэйр, Синт-Эстатиус и Саба
🇧🇷	флаг, флаг: Бразилия
🇧🇸	флаг, флаг: Багамы
🇧🇹	флаг, флаг: Бутан
🇧🇻	флаг, флаг: о-в Буве
🇧🇼	флаг, флаг: Ботсвана
🇧🇾	флаг, флаг: Беларусь
🇧🇿	флаг, флаг: Белиз
🇨🇦	флаг, флаг: Канада
🇨🇨	флаг, флаг: Кокосовые о-ва
🇨🇩	флаг, флаг: Конго - Киншаса
🇨🇫	флаг, флаг: Центрально-Африканская Республика
🇨🇬	флаг, флаг: Конго - Браззавиль
🇨🇭	флаг, флаг: Швейцария
🇨🇮	флаг, флаг: Кот-д’Ивуар
🇨🇰	флаг, флаг: о-ва Кука
🇨🇱	флаг, флаг: Чили
🇨🇲	флаг, флаг: Камерун
🇨🇳	флаг, флаг: Китай
🇨🇴	флаг, флаг: Колумбия
🇨🇵	флаг, флаг: о-в Клиппертон
🇨🇷	флаг, флаг: Коста-Рика
🇨🇺	флаг, флаг: Куба
🇨🇻	флаг, флаг: Кабо-Верде
🇨🇼	флаг, флаг: Кюрасао
🇨🇽	флаг, флаг: о-в Рождества
🇨🇾	флаг, флаг: Кипр
🇨🇿	флаг, флаг: Чехия
🇩🇪	флаг, флаг: Германия
🇩🇬	флаг, флаг: Диего-Гарсия
🇩🇯	флаг, флаг: Джибути
🇩🇰	флаг, флаг: Дания
🇩🇲	флаг, флаг: Доминика
🇩🇴	флаг, флаг: Доминиканская Республика
🇩🇿	флаг, флаг: Алжир
🇪🇦	флаг, флаг: Сеута и Мелилья
🇪🇨	флаг, флаг: Эквадор
🇪🇪	флаг, флаг: Эстония
🇪🇬	флаг, флаг: Египет
🇪🇭	флаг, флаг: Западная Сахара
🇪🇷	флаг, флаг: Эритрея
🇪🇸	флаг, флаг: Испания
🇪🇹	флаг, флаг: Эфиопия
🇪🇺	флаг, флаг: Европейский союз
🇫🇮	флаг, флаг: Финляндия
🇫🇯	флаг, флаг: Фиджи
🇫🇰	флаг, флаг: Фолклендские о-ва
🇫🇲	флаг, флаг: Федеративные Штаты Микронезии
🇫🇴	флаг, флаг: Фарерские о-ва
🇫🇷	флаг, флаг: Франция
🇬🇦	флаг, флаг: Габон
🇬🇧	флаг, флаг: Великобритания
🇬🇩	флаг, флаг: Гренада
🇬🇪	флаг, флаг: Грузия
🇬🇫	флаг, флаг: Французская Гвиана
🇬🇬	флаг, флаг: Гернси
🇬🇭	флаг, флаг: Гана
🇬🇮	флаг, флаг: Гибралтар
🇬🇱	флаг, флаг: Гренландия
🇬🇲	флаг, флаг: Гамбия
🇬🇳	флаг, флаг: Гвинея
🇬🇵	флаг, флаг: Гваделупа
🇬🇶	флаг, флаг: Экваториальная Гвинея
🇬🇷	флаг, флаг: Греция
🇬🇸	флаг, флаг: Южная Георгия и Южные Сандвичевы о-ва
🇬🇹	флаг, флаг: Гватемала
🇬🇺	флаг, флаг: Гуам
🇬🇼	флаг, флаг: Гвинея-Бисау
🇬🇾	флаг, флаг: Гайана
🇭🇰	флаг, флаг: Гонконг (САР)
🇭🇲	флаг, флаг: о-ва Херд и Макдональд
🇭🇳	флаг, флаг: Гондурас
🇭🇷	флаг, флаг: Хорватия
🇭🇹	флаг, флаг: Гаити
🇭🇺	флаг, флаг: Венгрия
🇮🇨	флаг, флаг: Канарские о-ва
🇮🇩	флаг, флаг: Индонезия
🇮🇪	флаг, флаг: Ирландия
🇮🇱	флаг, флаг: Израиль
🇮🇲	флаг, флаг: о-в Мэн
🇮🇳	флаг, флаг: Индия
🇮🇴	флаг, флаг: Британская территория в Индийском океане
🇮🇶	флаг, флаг: Ирак
🇮🇷	флаг, флаг: Иран
🇮🇸	флаг, флаг: Исландия
🇮🇹	флаг, флаг: Италия
🇯🇪	флаг, флаг: Джерси
🇯🇲	флаг, флаг: Ямайка
🇯🇴	флаг, флаг: Иордания
🇯🇵	флаг, флаг: Япония
🇰🇪	флаг, флаг: Кения
🇰🇬	флаг, флаг: Киргизия
🇰🇭	флаг, флаг: Камбоджа
🇰🇮	флаг, флаг: Кирибати
🇰🇲	флаг, флаг: Коморы
🇰🇳	флаг, флаг: Сент-Китс и Невис
🇰🇵	флаг, флаг: КНДР
🇰🇷	флаг, флаг: Республика Корея
🇰🇼	флаг, флаг: Кувейт
🇰🇾	флаг, флаг: о-ва Кайман
🇰🇿	флаг, флаг: Казахстан
🇱🇦	флаг, флаг: Лаос
🇱🇧	флаг, флаг: Ливан
🇱🇨	флаг, флаг: Сент-Люсия
🇱🇮	флаг, флаг: Лихтенштейн
🇱🇰	флаг, флаг: Шри-Ланка
🇱🇷	флаг, флаг: Либерия
🇱🇸	флаг, флаг: Лесото
🇱🇹	флаг, флаг: Литва
🇱🇺	флаг, флаг: Люксембург
🇱🇻	флаг, флаг: Латвия
🇱🇾	флаг, флаг: Ливия
🇲🇦	флаг, флаг: Марокко
🇲🇨	флаг, флаг: Монако
🇲🇩	флаг, флаг: Молдова
🇲🇪	флаг, флаг: Черногория
🇲🇫	флаг, флаг: Сен-Мартен
🇲🇬	флаг, флаг: Мадагаскар
🇲🇭	флаг, флаг: Маршалловы о-ва
🇲🇰	флаг, флаг: Северная Македония
🇲🇱	флаг, флаг: Мали
🇲🇲	флаг, флаг: Мьянма (Бирма)
🇲🇳	флаг, флаг: Монголия
🇲🇴	флаг, флаг: Макао (САР)
🇲🇵	флаг, флаг: Северные Марианские о-ва
🇲🇶	флаг, флаг: Мартиника
🇲🇷	флаг, флаг: Мавритания
🇲🇸	флаг, флаг: Монтсеррат
🇲🇹	флаг, флаг: Мальта
🇲🇺	флаг, флаг: Маврикий
🇲🇻	флаг, флаг: Мальдивы
🇲🇼	флаг, флаг: Малави
🇲🇽	флаг, флаг: Мексика
🇲🇾	флаг, флаг: Малайзия
🇲🇿	флаг, флаг: Мозамбик
🇳🇦	флаг, флаг: Намибия
🇳🇨	флаг, флаг: Новая Каледония
🇳🇪	флаг, флаг: Нигер
🇳🇫	флаг, флаг: о-в Норфолк
🇳🇬	флаг, флаг: Нигерия
🇳🇮	флаг, флаг: Никарагуа
🇳🇱	флаг, флаг: Нидерланды
🇳🇴	флаг, флаг: Норвегия
🇳🇵	флаг, флаг: Непал
